# 8万精准超小词库
# 原始出处未知，多音字注音移除，第一个词“是的这个”改成“是的”
# https://github.com/studyzy/imewlconverter/blob/master/参考/8万精准超小词库.txt
#
# 词语	多音字备注

当前	
关键	
类型	
直接	
社区	区qu
旅游	
公告	
检查	查cha
经营	
业务	
系列	系xi
达到	
主题	
专家	家jia
基础	
应用	
关注	
更新	
学院	
分析	
说明	说shuo
热点	
汽车	车che
数据	数shu
音乐	乐yue
根据	
点击	
好的	的de
负责	
具有	
获得	得de
未经	
维护	
创新	
质量	
人才	
最大	大da
学校	校xiao
我国	
对于	
表示	
标题	
频道	
博客	
许可	
数码	数shu
导航	
登录	
媒体	
集团	
办法	
都是	都dou
只有	
窗口	
学生	
第三	
中央	
结合	合he
广州	广guang
程序	
查看	查cha
之间	
精彩	
报道	
各种	种zhong
继续	
版本	
采用	
工程	
转载	转zhuan
拥有	
一种	种zhong
邮箱	
措施	
因此	
这是	这zhe
高级	
商业	
邮件	
有效	
行为	行xing
商品	
时尚	
实际	
结构	
消息	
申请	
材料	
原因	
发生	
栏目	
接受	
保护	
右边	
我要	
心思	思si
交易	
快速	
主页	
确定	
正文	
授权	
最高	
心事	
重大	重zhong|大da
类别	
经过	
精神	
新浪	
电视	
以来	
效果	
中文	
热线	
通讯	
事迹	
记录	
平台	
执行	行xing
制度	度du
保证	
一起	
深圳	
小时	
今日	
成果	
特色	色se
之一	
工具	
这种	这zhe|种zhong
具体	
一直	
广东	广guang
共有	
体系	系xi
很多	
造成	
江苏	
做好	
是以	
房产	房fang
积极	
数字	数shu
观点	
规模	模mo
记者	
事业	
制定	
制订	
职业	
真是	
传真	传chuan
操作	
我的	的de
复制	
推进	
坚持	
结束	
教学	
十一	
天津	
资金	
概况	
科研	
艺术	术shu
站点	
竞争	
热门	
移动	
发挥	
来自	
各项	
区域	区qu
超过	
劳动	
正式	
银行	行hang
落实	落luo
努力	
空间	
浙江	
许多	
承担	
精华	
早上	
战略	
明确	
变化	
不可	
运动	
排行	行hang
优秀	
带来	
律师	
协会	会hui
成立	
日报	
严格	
地产	地di
基地	地di
重庆	重chong
政治	
体育	育yu
阶段	
一条	
收入	
引用	
也不	
万元	万wan
商城	
状态	
认识	识shi
香港	
电影	
农业	
山东	
网址	
实行	行xing
领域	
报告	
办公	
本页	
输入	
不仅	
正常	
多种	种zhong
家庭	家jia
之后	
促进	
最近	
丰富	
机会	会hui
持续	
干部	
召开	召zhao
短信	
导致	
现场	
监督	
主任	
举办	
公布	
代理	
告诉	
启动	
举行	行xing
大会	大da|会hui
确保	
文明	
经典	
创造	
方向	
好友	
甚至	
针对	
大量	大da
制造	
出来	
报价	价jia
财经	
加盟	
禁止	
保障	
次数	数shu
河南	南nan
目录	
编号	
姓名	
订阅	
思想	思si
简单	单dan
产生	
绿色	绿lv|色se
价值	价jia
改变	
发送	
配件	
通信	
自动	
开放	
良好	
全文	
字符	
推出	
投诉	
受到	
分别	
各地	地di
未来	
真正	
怎样	
任务	
投入	
调研	调diao
投稿	
掌握	
感觉	觉jue
首先	
方便	便bian
规则	
扩大	大da
面积	
加大	大da
页面	
湖南	南nan
第四	
超级	
协议	
个月	
速度	度du
机械	
属于	属shu
年度	度du
符合	合he
优势	
心情	
道德	
教师	
及其	其qi
相应	
条例	
毕业	
然后	
原创	
费用	
地点	地di
一点	
利益	
文字	
只要	
考试	
长期	长chang|期qi
完善	
最好	
删除	
条款	
字体	
卫生	
休闲	
各类	
电信	
测试	
保险	
依法	
除了	了le
明星	
提示	提ti
表现	
遵守	
特殊	
引起	
贯彻	
一下	
左右	
优惠	
成本	
资格	
专区	区qu
培养	
贸易	
故事	
经历	
公共	
人们	
上市	
台湾	
女人	
去年	
登记	
集中	
摄影	
严重	重zhong
来说	说shuo
一位	
最终	
增长	长zhang
不到	
整体	
平均	
学术	术shu
运行	行xing
享受	
素质	
突破	
打造	
收费	
随着	着zhe
都有	都dou
四川	
多少	
书面	
校园	校xiao
成绩	
提升	提ti
版权	
基金	
相当	
办事	
设施	
机遇	
意思	思si
主管	
供求	
大型	大da
认证	
最佳	
有些	
女性	
小组	
英语	
就业	
网页	
第五	
联盟	
武汉	
有了	了le
状况	
增强	强qiang
考虑	
找到	
广大	广guang|大da
辽宁	
答疑	
困难	
硬件	
几个	
各级	
推广	广guang
大小	大da
流行	行xing
更加	
云南	南nan
觉得	觉jue|得de
每年	
创业	
十分	
力量	
金融	
独立	
采购	
连续	
医院	
核心	核he
体现	
医疗	
这么	这zhe|么me
意义	
深入	
整个	
更好	
购物	
也有	
适应	适shi
即将	
招生	
著名	著zhu
贡献	
杂志	
最低	
时期	期qi
从事	
推动	
成员	员yuan
机制	
满足	
心里	
心理	
的话	的de
降低	降jiang
组成	
景象	
容易	
强调	强qiang|调diao
有权	
美元	
出口	
所在	
政务	
另一	
用品	
必要	
手段	
先生	
检索	
总是	
广西	广guang
立即	
人数	数shu
成了	了le
依据	
常委	
实验	
谢谢	
下来	
鼓励	
孤立	
十六	六liu
重视	重zhong
主持	
身份	
事项	
批评	
生命	
行动	行xing
焦点	
现有	
职工	
力度	度du
供应	
新疆	
不足	
很好	
评测	
教授	
突出	
重新	重chong
地位	地di
表明	
首次	
国庆	
语言	
图书	
广泛	广guang
用于	
正确	
群众	
财政	
高度	度du
面临	
集体	
影视	
邮政	
下午	
产权	
生态	
孩子	
安装	
分辨	
升级	
同样	
照片	
广播	广guang
创建	
做到	
经销	
面对	
允许	
一项	
设立	
值得	得de
天地	地di
之窗	
权利	
提交	提ti
现象	
国外	
近期	期qi
上述	
很大	大da
不少	
自由	
动力	
绝对	
一批	
配套	
视为	
高效	
传播	传chuan
计算	
协调	调tiao
安徽	
不错	
半年	
审核	核he
理解	解jie
平方	
进展	
高校	校xiao
书记	
证明	
适合	适shi|合he
常见	见jian
固定	
较大	大da
居民	
都市	都du
环保	
队伍	
减少	
和谐	和he
效益	
广场	广guang
湖北	
论文	
对外	
全新	
播放	
专项	
二手	
生物	
因素	
海淀	
风采	
损失	
验证	
尊重	重zhong
根本	
此外	
追究	
男人	
引导	
年来	
几分	
批准	
在这	这zhe
诚信	
以前	
促销	
付款	
版主	
会上	会hui
股份	
尤其	其qi
分钟	
东方	
农民	
新品	
道路	
客服	
阿里	阿a
互动	
日前	
工艺	
取消	
课程	
不再	
不在	
形象	
资产	
加快	
包装	
大连	大da
阳光	
性质	
执法	
全是	
博士	
财务	
描述	
信箱	
一家	家jia
每个	
第十	
再次	
来了	了le
至少	
法制	
考核	核he
迅速	
上网	
名单	单dan
运用	
标志	
预测	
总结	
图库	
解释	解jie
海南	南nan
当地	地di
兴趣	
德国	
风格	
到底	底di
难以	
关心	
违法	
危害	
杭州	
英文	
专门	
本网	
颜色	色se
概念	
构成	
举报	
监管	
陕西	
加工	
几乎	
西部	
申报	
营业	
会有	会hui
这次	这zhe
无论	无wu
服装	
承办	
本地	地di
改进	
河北	
新华	
自主	
编码	
营销	
限制	
大力	大da
肯定	
总数	数shu
党员	员yuan
司法	
节目	
满意	
自身	
相信	
公众	
中小	
匿名	
沈阳	
具备	
言论	
尽管	
土地	地di
等等	
站内	
硬盘	
共享	
配合	合he
参数	参can|数shu
发言	
感受	
爱情	
治疗	
岗位	
免责	
乡镇	
完整	
要问	
趋势	
在我	
吸引	
改善	
挑战	
就会	会hui
当时	
成长	长zhang
各个	
引进	
对我	
厂商	厂chang
老师	
指出	
西安	
常用	
专栏	
医药	
轻松	
人在	
相互	
并在	
百万	百bai|万wan
国有	
江西	
格式	
情感	
合理	合he
终于	
将在	
只需	
转到	转zhuan
会在	会hui
发出	
树立	
义务	
录入	
建成	
百姓	百bai
秩序	
原来	
渠道	
年代	
总体	
权益	
构建	
双方	
你们	
小学	
别人	
永远	
三年	
放在	
环节	
风景	
多次	
在于	
美容	
技巧	
个性	
即可	
员工	员yuan
已有	
选项	
转移	转zhuan
转换	转zhuan
说是	说shuo
清华	
均为	
顺利	
商家	家jia
您在	
制品	
只许	
无限	无wu
体验	
观念	
显著	著zhu
犯罪	
都不	都dou
黄金	
官方	
两种	种zhong
成熟	熟shu
英才	
顾问	
三星	
我想	
令人	
也要	
年内	
预计	
投票	
宁夏	
一体	
日常	
多年	
途径	
十大	大da
职务	
本科	
大厦	大da|厦sha
是个	
合法	合he
现状	
委托	
气象	
请看	
你的	的de
准确	
保健	
风险	
还要	还hai
压力	
比例	
英国	
总共	
那个	那na
可是	
财富	
不好	
注重	重zhong
装修	
标签	
健全	
发放	
高等	
对象	
集成	
添加	
巨大	大da
相对	
聊天	
欣赏	
比赛	
曾经	曾ceng
医学	
技能	
摘要	
讲话	
人气	
第六	六liu
来看	
装备	
分享	
五年	
流动	
两年	
我也	
化学	
商标	
做的	的de
自我	
法国	
请您	
地理	地di
矛盾	
成效	
可见	见jian
园区	区qu
报社	
错误	
职责	
报名	
有所	
专用	
为主	
东北	
指标	
处于	
否则	否fou
出席	
利润	
工资	
签名	
对其	其qi
水里	
学会	会hui
探索	
间接	
进步	
发行	行xing
避免	
不用	
都在	都dou
车辆	车che
能做	
证书	
无力	无wu
对此	
月份	
家电	家jia
厦门	厦xia
上传	传chuan
理由	
名字	
一份	
幸福	
家园	家jia
场所	
打击	
是不	
效率	率lv
运输	
主动	
逐步	
青海	
完美	
提前	提ti
合格	合he
手里	
长的	长chang|的de
规格	
济南	南nan
所属	属shu
物流	
组图	
酒店	
让人	
品种	种zhong
加上	
万方	万wan
合同	合he
读者	读du
证券	券quan
训练	
流程	
同学	
今后	
亚洲	
定位	
改造	
宣布	
遇到	
切实	
不够	
让我	
上升	
寻找	寻xun
比如	
运营	
策略	
手续	
就有	
鉴定	
您还	还hai
审批	
于是	
感谢	
一张	
海洋	
事故	
周边	
就不	
内存	
主席	
动物	
复杂	
表情	
礼品	
多人	
应当	
强化	强qiang
大街	大da
贵州	
变成	
整理	
是要	
密切	
年前	
国民	
小区	区qu
违反	
体制	
院校	校xiao
位于	
团队	
特征	
容量	
类似	似si
规章	
定期	期qi
招标	
化工	
优化	
进口	
上午	
驱动	
为您	
愿意	
接触	
不了	了liao
有点	
一名	
之中	
买了	了le
检测	
订单	单dan
信号	
城区	区qu
万人	万wan
都会	都du|会hui
自觉	觉jue
我爱	
求职	
一周	
站长	长zhang
维修	
相册	
来到	
好地	地di
开拓	拓tuo
多了	了le
铁路	
之外	
国土	
接口	
组合	合he
上了	了le
唯一	
出售	
人力	
黑色	色se
签订	
累计	
排水	
沟通	
动画	
房子	房fang
低于	
视听	
将会	会hui
军事	
填写	
财产	
装饰	
品质	
一段	
权威	
一代	
随时	
监控	
顶部	
每一	
那里	那na
死亡	亡wang
营造	
帅哥	
实力	
声音	
强大	强qiang|大da
人文	
学历	
表达	
确实	
引发	
查找	查cha
方针	
市民	
高兴	
是最	
我在	
预报	
可在	
门户	
众多	
联想	
依然	
他说	说shuo
表彰	
严禁	
上级	
相比	
追求	
回答	
是对	
党的	的de
最多	
强烈	强qiang
自行	行xing
特价	价jia
虚拟	
足球	
屏幕	屏ping
详情	
出处	
胜利	
天天	
产量	
甘肃	
吉林	
尚未	
聚焦	
态度	度du
朝阳	朝chao
晚上	
治理	
危险	
疯狂	
能在	
培育	育yu
赚钱	赚zhuan
读书	读du
提醒	提ti
回到	
承诺	
此次	
也许	
战争	
图文	
郑州	
评选	
本次	
求助	
观察	
电源	
回顾	
奖励	
感到	
四个	
角度	角jiao|度du
第七	
模拟	模mo
年龄	
此页	
仅仅	
本身	
讲座	
理想	
想到	
专利	
第八	
电池	
层次	
还在	还hai
参观	参can
大赛	大da
对比	
信用	
垃圾	
周年	
暂无	无wu
应对	
纷纷	
你是	
都要	都dou
快讯	
线路	
审计	
就能	
服饰	
任意	
建材	
三大	大da
保存	
拍卖	
更是	
铃声	
习惯	
先后	
逐渐	
新增	
各位	
导购	
一套	
生存	
这也	这zhe
出发	
彻底	底di
常务	
更为	
也会	会hui
他人	
不知	
研讨	
能源	
教材	
有着	着zhe
尺寸	尺chi
似乎	似si
可靠	
规律	
所需	
上下	
之路	
面向	
决策	
信心	
本报	
资本	
出台	
十三	
液晶	
拒绝	
光临	
开心	
厂家	厂chang|家jia
前提	提ti
利于	
请问	
锁定	
回收	
做了	了le
域名	
西藏	藏zang
买卖	
相同	
优质	
低价	价jia
增值	
刚刚	
日益	
长春	长chang
依靠	
较好	
用途	
祝福	
收购	
看望	
十年	
显卡	卡ka
外语	
如有	
始终	
手册	
下降	降jiang
热情	
尽快	
激情	
使得	得de
贷款	
歌曲	
全省	省sheng
会计	会kuai
超市	
少数	数shu
将于	
路线	
林业	
下乡	
我校	校xiao
建筑	
影音	
使我	
围绕	
色彩	色se
新型	
独特	
并将	
十九	
帽子	
一场	
学者	
流通	
昵称	称cheng
验收	
学位	
外资	
评分	
曝光	曝bao
平板	
事实	
几年	
经贸	
循环	
当真	
时刻	
团结	
文献	
简体	
太阳	
疾病	
配送	
英雄	
汇报	
回报	
新生	
全体	
革命	革ge
出租	
四大	大da
级别	
不如	
物业	
试试	
便民	便bian
成就	
十四	
公里	
他看	
知名	
距离	
清晰	
好了	了le
基层	
发给	给gei
予以	
期待	期qi
留下	
搜狐	
外设	
调控	调tiao
通用	
消除	
表格	
鼠标	
大陆	大da|陆lu
花园	
几千	
采访	
信誉	
附近	
想着	着zhe
原地	地di
委员	员yuan
熟悉	熟shu
浪漫	
你做	
仔细	仔zi
廉政	
民事	
新帖	
物质	
分布	
本周	
售后	
就要	
因您	
邀请	
施工	
局面	
是在	
还未	还hai
给你	给gei
适当	适shi
期限	期qi
群体	
预算	
崇拜	
爱问	
精心	
听取	
秘密	秘mi
看来	
部长	长zhang
思路	思si
通道	
协助	
精选	
高考	
大众	大da
页次	
实在	
一款	
您好	
红色	红hong|色se
回来	
苹果	
中有	
走向	
工会	会hui
之日	
温度	度du
工人	
金属	属shu
联络	络luo
分为	
三十	
订购	
至今	
房屋	房fang
新手	
老板	
为何	
期刊	期qi
零售	
电器	
转变	转zhuan
更大	大da
省市	省sheng
秘书	秘mi
补充	
排序	
空气	
官员	员yuan
转让	转zhuan
整合	合he
动作	
若干	若ruo
总额	
课题	
梦想	
要在	
器材	
举措	
一月	
部署	
公路	
卡通	卡ka
笔名	
玩具	
分子	
华东	
本文	
出生	
扩展	
是指	
保密	
生日	
预防	
第九	
数学	数shu
展览	
污染	
账户	
苏州	
荣誉	
皮肤	
为此	
是很	
前沿	
光盘	
审查	查cha
简报	
查处	查cha
暂时	
不管	
为其	其qi
蓝色	色se
创意	
是从	
典型	
业界	
大大	大da|大da
请在	
深刻	
示范	
要有	
步伐	
平衡	
当年	
机场	
电力	
病毒	
总局	
上面	
民主	
也很	
解答	解jie
传递	传chuan
局长	长zhang
过来	
较高	
不想	
您对	
放弃	
明白	
科普	
一旦	
有利	
区别	区qu
翻译	
还不	还hai
一部	
年底	底di
运作	
到我	
业内	
回家	家jia
前景	
包含	
走进	
工厂	厂chang
某些	
看法	
降价	降jiang|价jia
等待	
人体	
隐藏	藏cang
森林	
青春	
小的	的de
院长	长zhang
阿门	阿a
刷新	
邮局	
图像	
长沙	长chang
履行	行xing
首都	都du
室内	
扫描	
小说	说shuo
为准	
我来	
担任	
生长	长zhang
住宅	
停止	
性感	
民营	
我就	
新的	的de
每周	
账号	
理工	
差异	差cha
传媒	传chuan
团体	
南方	南nan
公斤	
中间	
感动	
才是	
留学	
将其	其qi
身上	
印刷	
重量	重zhong
看了	了le
初步	
批发	
由此	
家具	家jia
滚动	
航空	
哈哈	
通常	
马上	
键盘	
空调	调tiao
春节	
外国	
校长	校xiao|长zhang
小姐	
我是	
变得	得de
不良	
如今	
下去	
女子	
检验	
还能	还hai
豪华	
消防	
要做	
大奖	大da
同步	
西南	南nan
快捷	
拓展	拓tuo
活力	
看不	
药品	
也在	
整顿	顿dun
国产	
政协	
隆重	重zhong
线索	
引擎	
特性	
飞机	
宠物	
领先	
宏观	
种类	种zhong
餐饮	
问答	
威胁	
赞同	
日历	
宁波	
日记	
投影	
便于	便bian
记忆	
展会	会hui
每次	
也就	
中山	
定义	
普及	
兄弟	
争取	
随后	
上有	
指数	数shu
角色	角jue|色se
高层	
宾馆	
太多	
应在	
很有	
布局	
中介	
法院	
调节	调tiao
物价	价jia
失去	
做法	
含有	
中学	
必然	
侮辱	
眼睛	
三角	角jiao
高中	
上来	
伟大	大da
患者	
经费	
下了	了le
小心	
直通	
宝贝	
更高	
足够	
居住	
收取	
并对	
先锋	
紧急	
公园	
活宝	
火爆	
业绩	
日子	
周刊	
文本	
西北	
紧张	
总之	
上门	
连同	
宗旨	
主流	
表面	
对本	
北方	
则是	
稿件	
便宜	便pian
跳转	转zhuan
激烈	
文艺	
快递	
五大	大da
不久	
以内	
写真	
编制	
长江	长chang
诊断	
对方	
人次	
本来	
保留	
至于	
过了	了le
周围	
每月	
融资	
风云	
但在	
失败	
拍摄	
座谈	
一块	
税务	
印象	
父母	
同类	
发达	
输出	
抓住	
案件	
女生	
型号	
越多	
新鲜	
思维	思si
都能	都dou
楼盘	
晚报	
名人	
玻璃	
紧密	
明天	
直播	
业主	
滚屏	屏ping
并非	
伤情	
通报	
模型	模mo
当代	
法定	
交换	
汇款	
路由	
名牌	
折扣	折zhe
三条	
家用	家jia
覆盖	盖gai
呈现	
女士	
加速	
不但	
吸收	
千元	
母亲	亲qin
认可	
城镇	
步骤	
对策	
防止	
要把	
咖啡	咖ka
身边	
对话	
估计	
行情	行hang
繁体	繁fan
观看	
记得	得de
还会	还hai|会hui
面前	
又有	
懂事	
不大	大da
市长	长zhang
户外	
这位	这zhe
温州	
感情	
情报	
三次	
二条	
民意	
选购	
宗教	
短期	期qi
饲料	
色情	色se
每页	
列入	
老人	
了吗	了le
福州	
访谈	
上去	
精美	
热烈	
友好	
日志	
日内	
生意	
非法	
原理	
庆祝	
担心	
应急	
风暴	暴bao
外贸	
情人	
人家	家jia
争议	
我能	
诽谤	
会展	会hui
纳入	
沙龙	
放心	
带动	
前后	
起了	了le
透露	露lu
认定	
独家	家jia
奋斗	
格局	
五条	
点点	
频率	率lv
天堂	
明年	
几天	
首届	
多元	
风光	
此处	
名录	
遭遇	
多万	万wan
营养	
接近	
重复	重chong
住房	房fang
齐全	齐qi
站在	
作出	
冲击	
组建	
纵横	
就像	
有个	
找我	
双击	
预览	
此文	
侵犯	
想要	
总裁	
外观	
汇总	
违规	
武器	
白色	色se
新建	
显得	得de
清洁	
水果	
远程	
辅导	
有机	
彩色	色se
有望	
合肥	合he
租赁	
获奖	
多样	
补贴	
尝试	
能不	
攻略	
无锡	无wu
贴图	
也可	
损害	
潜力	
暂行	行xing
不行	行xing
也能	
幅度	度du
究竟	
乐园	乐le
抓好	
疑问	
须知	
山区	区qu
两次	
走出	
电台	
去了	了le
征集	
刊登	
股票	
年后	
您要	
文档	
灵活	
休息	
健身	
二级	
光明	
前面	
交友	
结论	
内涵	
个别	
传输	传chuan
临时	
为我	
五个	
末页	
从业	
进而	
地下	地di
尽量	
镜头	
三种	种zhong
年初	
可用	
不敢	
出去	
耗材	
高手	
支撑	
常规	
立足	
试点	
各国	
诱惑	
导向	
货币	
说话	说shuo
差距	差cha
缩小	缩suo
百年	百bai
界面	
一流	
起到	
赔偿	
主机	
表演	
六条	六liu
天使	
出国	
减轻	
淫秽	
立刻	
方位	
最为	
合资	合he
难题	
不太	
时报	
环球	
面板	
一声	
其次	其qi
细节	
饮料	
有的	的de
请勿	
公正	
海关	
询问	
二期	期qi
采集	
好评	
分离	
外地	地di
诉讼	
的确	的di
存储	
赢得	得de
地带	地di
退休	
老年	
只会	会hui
合适	合he|适shi
地球	地di
到位	
东南	南nan
达成	
上班	
离线	
心中	
冠军	
荧屏	屏ping
大多	大da
大楼	大da
我有	
个体	
应有	
难度	度du
答案	
地税	地di
开了	了le
不必	
管辖	
中外	
坚决	
本月	
到这	这zhe
想法	
携手	
修订	
首选	
附加	
药物	
护理	
惊人	
男性	
听到	
周末	
团购	
前进	
和我	和he
我说	说shuo
塑料	
昨日	
扎实	扎zha
火车	车che
骨干	
大师	大da
一人	
声明	
上报	
课堂	
月底	底di
文集	
积累	
总部	
六大	六liu|大da
更有	
巩固	
借鉴	
饭店	
以外	
公民	
竞赛	
兴奋	
江南	南nan
框架	
刺激	
贺卡	卡ka
老公	
其余	其qi
上路	
自律	
走势	
长城	长chang
宽带	
收益	
很高	
互相	
昆明	
他在	
划分	划hua
分工	
细则	
亮相	
征求	
专辑	
背后	
占有	
依托	
与我	
是你	
玫瑰	
打破	
一律	
我还	还hai
售价	价jia
演出	
节日	
测量	
随意	
应是	
不住	
无疑	无wu
都很	都dou
高档	
扬州	
幽默	
连锁	
深度	度du
宝贵	
辐射	
一台	
将以	
劳务	
一口	
很少	
公交	
摘编	
序号	
此类	
一日	
寻求	寻xun
考生	
入口	
立法	
网卡	卡ka
手中	
不对	
好好	
清理	
福利	
外部	
全会	会hui
驾驶	
对手	
识别	识shi
岁月	
随即	
情绪	
兰州	
精灵	
优良	
装置	
上涨	
人群	
内衣	
长度	长chang|度du
节约	约yue
篮球	
更换	
确立	
投标	
哲学	
松下	
默认	
统筹	
听说	说shuo
九条	
统称	称cheng
图形	
放大	大da
排列	
还没	还hai|没mei
灌水	
进度	度du
别墅	
顶端	
美术	术shu
说法	说shuo
跨越	
宪法	
带着	着zhe
观众	
税收	
创作	
天然	
心灵	
待遇	
传说	传chuan|说shuo
通告	
华南	南nan
内地	地di
眼神	
辅助	
变更	
故障	
或是	
公寓	
货物	
顾客	
少女	
援助	
原料	
超值	
三农	
婚姻	
造型	
给了	给gei|了le
国防	
得很	得de
结婚	
