# 8万精准超小词库
# 原始出处未知，原词中多音字注音移除，补充完整拼音，第一个词“是的这个”改成“是的”
# https://github.com/studyzy/imewlconverter/blob/master/参考/8万精准超小词库.txt
#
# 词语	拼音	多音字备注

历史	li shi	
基本	ji ben	
事情	shi qing	
不能	bu nai	
领导	ling dao	
经常	jing chang	
第二	di er	
下列	xia lie	
日期	ri qi	期qi
得到	de dao	得de
品牌	pin pai	
不是	bu shi	
部门	bu men	
作为	zuo wei	
设备	she bei	
免费	mian fei	
网友	wang you	
还是	hai shi	还hai
全球	quan qiu	
发现	fa xian	
其中	qi zhong	其qi
人大	ren da	大da
娱乐	yu le	乐le
计划	ji hua	划hua
清楚	qing chu	
包括	bao kuo	括kuo
大家	da jia	大da|家jia
如此	ru ci	
无关	wu guan	无wu
不同	bu tong	
判断	pan duan	
学科	xue ke	
到了	dao le	了le
每天	mei tian	
但是	dan shi	
全面	quan mian	
参考	can kao	参can
成功	cheng gong	
目标	mu biao	
方案	fang an	
非常	fei chang	
反馈	fan kui	
两个	liang ge	
实现	shi xian	
而且	er qie	且qie
购买	gou mai	
一般	yi ban	般ban
先进	xian jin	
并不	bing bu	
过程	guo cheng	
原则	yuan ze	
日本	ri ben	
是我	shi wo	
调查	diao cha	调diao|查cha
只是	zhi shi	
提出	ti chu	提ti
认为	ren wei	
列表	lie biao	
里面	li mian	
模式	mo shi	模mo
不会	bu hui	会hui
充分	chong fen	
客户	ke hu	
取得	qu de	得de
怎么	zen me	么me
才能	cai nai	
天下	tian xia	
如下	ru xia	
普通	pu tong	
消费	xiao fei	
能够	nai gou	
时代	shi dai	
特点	te dian	
起来	qi lai	
虽然	sui ran	
采取	cai qu	
出版	chu ban	
需求	xu qiu	
就在	jiu zai	
看到	kan dao	
现代	xian dai	
是否	shi fou	否fou
精品	jing pin	
存在	cun zai	
讨论	tao lun	
完全	wan quan	
稳定	wen ding	
传统	chuan tong	传chuan
公开	gong kai	
楼主	lou zhu	
安排	an pai	
程度	cheng du	度du
数量	shu liang	数shu
喜欢	xi huan	
共同	gong tong	
破坏	po huai	坏huai
同意	tong yi	
一天	yi tian	
保持	bao chi	
人生	ren sheng	
那样	na yang	那na
那么	na me	那na|么me
不要	bu yao	
不过	bu guo	
三个	san ge	
展开	zhan kai	
联合	lian he	合he
美女	mei nv	
评价	ping jia	价jia
无法	wu fa	无wu
很难	hen nan	
寂寞	ji mo	
美丽	mei li	
南京	nan jing	南nan
反映	fan ying	
千万	qian wan	万wan
民族	min zu	
一年	yi nian	
目的	mu di	的di
突然	tu ran	
民间	min jian	
一面	yi mian	
规范	gui fan	
期间	qi jian	期qi
难道	nan dao	
认真	ren zhen	
天空	tian kong	
研发	yan fa	
之前	zhi qian	
明显	ming xian	
有人	you ren	
天气	tian qi	
青年	qing nian	
提问	ti wen	提ti
韩国	han guo	
其实	qi shi	其qi
并且	bing qie	且qie
过去	guo qu	
那些	na suo	那na
档案	dang an	
快乐	kuai le	乐le
理念	li nian	
另外	ling wai	
好像	hao xiang	
给我	gei wo	给gei
当然	dang ran	
人口	ren kou	
一片	yi pian	
文学	wen xue	
性能	xing nai	
伙伴	huo ban	
呵呵	he he	呵he|呵he
平常	ping chang	
内部	na bu	
看看	kan kan	
身体	shen ben	
所谓	suo wei	
爱好	ai hao	
佩服	pei fu	
多个	duo ge	
办理	ban li	
海外	hai wai	
确认	que ren	
权限	quan xian	
而是	er shi	
本人	ben ren	
配置	pei zhi	
解放	jie fang	解jie
十二	shi er	
芯片	xin pian	
案例	an li	
考察	kao cha	
立场	li chang	
儿童	er tong	
备案	bei an	
把握	ba wo	
性别	xing bie	
普遍	pu bian	
喜爱	xi ai	
从而	cong er	
后来	hou lai	
例如	li ru	
福建	fu jian	
少年	shao nian	
每日	mei ri	
那种	na zhong	那na|种zhong
切换	qie huan	
较为	jiao wei	
思考	si kao	思si
男女	nan nv	
评估	ping gu	
公安	gong an	
回复	hui fu	
欧洲	ou zhou	
年轻	nian qing	
离开	li kai	
无奈	wu nai	无wu
游客	you ke	
人类	ren lei	
反对	fan dui	
分配	fen pei	
二次	er ci	
仍然	reng ran	
话题	hua ti	
女孩	nv hai	
老婆	lao po	
物品	wu pin	
我不	wo bu	
微软	wei ruan	
我啊	wo a	
开通	kai tong	
平时	ping shi	
充满	chong man	
您是	nin shi	
常常	chang chang	
美好	mei hao	
打开	da kai	
排名	pai ming	
探讨	tan tao	
让你	rang ni	
然而	ran er	
父亲	fu qin	亲qin
刊物	kan wu	
客观	ke guan	
爱国	ai guo	
发帖	fa tie	
往往	wang wang	
公平	gong ping	
点评	dian ping	
策划	ce hua	划hua
可爱	ke ai	
奥运	ao yun	
号码	hao ma	
安慰	an wei	
金额	jin e	
能否	nai fou	否fou
开启	kai qi	
这儿	zhe er	这zhe
体会	ben hui	会hui
恐怕	kong pa	
缺乏	que fa	
而不	er bu	
恐怖	kong bu	
澳门	ao men	
很快	hen kuai	
和平	he ping	和he
爱你	ai ni	
安静	an jing	
贫困	pin kun	
门票	men piao	
障碍	zhang ai	
获取	huo qu	
妇女	fu nv	
内外	na wai	
我看	wo kan	
开幕	kai mu	
二届	er jie	
爱心	ai xin	
好处	hao chu	
那天	na tian	那na
图案	tu an	
显然	xian ran	
欧美	ou mei	
浪费	lang fei	
乐趣	le cu	乐le
平安	ping an	
客人	ke ren	
儿子	er zi	
门口	men kou	
因而	yin er	
而来	er lai	
女儿	nv er	
反而	fan er	
恶意	e yi	恶e
繁荣	fan rong	繁fan
忽然	hu ran	
品味	pin wei	
恋爱	lian ai	
承认	cheng ren	
热爱	re ai	
头脑	tou nao	
草案	cao an	
迫切	po qie	迫po
难看	nan kan	
爱上	ai shang	
不怕	bu pa	
安定	an ding	
是啊	shi a	
头发	tou fa	
偶尔	ou er	
欺骗	qi pian	
邪恶	xie e	邪xie|恶e
其二	qi er	其qi
议案	yi an	
骗人	pian ren	
人品	ren pin	
海尔	hai er	
贝尔	bei er	
骄傲	jiao ao	
好啊	hao a	
而我	er wo	
偶像	ou xiang	
名为	ming wei	
偶然	ou ran	
爱人	ai ren	
哪怕	na pa	哪na
恶心	e xin	恶e
亲爱	qin ai	亲qin
而后	er hou	
恶搞	e gao	恶e
而非	er fei	
西欧	xi ou	
而对	er dui	
欧元	ou yuan	
二人	er ren	
爱他	ai ta	
配额	pei e	
中欧	zhong ou	
母爱	mu ai	
木偶	mu ou	
儿科	er ke	
海鸥	hai ou	
欧文	ou wen	
卡尔	ka er	卡ka
欧宝	ou bao	
乳房	ru fang	房fang
儿女	er nv	
名额	ming e	
天鹅	tian e	
配偶	pei ou	
人偶	ren ou	
恶魔	e mo	恶e
呕吐	ou tu	
欧式	ou shi	
高额	gao e	
威尔	wei er	
北欧	bei ou	
陪你	pei ni	
暗暗	an an	
殴打	ou da	
奇偶	ji ou	奇ji
暗藏	an cang	藏cang
你啊	ni a	
安抚	an fu	
爱看	ai kan	
藕粉	ou fen	
怄气	ou qi	
干呕	gan ou	
信息	shen xi	
网站	wang zhan	
技术	ji shu	术shu
首页	shou ye	
所有	suo you	
建设	jian she	
中国	zhong guo	
用户	yong hu	
中心	zhong xin	
一个	yi ge	
使用	shi yong	
时间	shi jian	
地址	di zhi	地di
网络	wang luo	络luo
教育	jiao yu	育yu
新闻	xin wen	
有限	you xian	
国际	guo ji	
主要	zhu yao	
位置	wei zhi	
来源	lai yuan	
欢迎	huan ying	
注册	zhu ce	
研究	yan jiu	
生活	sheng huo	
资源	zi yuan	
在线	zai xian	
文件	wen jian	
评论	ping lun	
搜索	sou suo	
密码	mi ma	
合作	he zuo	合he
选择	xuan ze	择ze
以上	yi shang	
重要	zhong yao	重zhong
浏览	liu lan	
推荐	tui jian	
收藏	shou cang	藏cang
介绍	jie shao	
投资	tou zi	
留言	liu yan	
主办	zhu ban	
提供	ti gong	提ti
提高	ti gao	提ti
综合	zong he	综zong|合he
设计	she ji	
咨询	zi xun	
社会	she hui	会hui
答应	da ying	
本站	ben zhan	
行业	hang ye	行hang
阅读	yue du	读du
地图	di tu	地di
指南	zhi nan	南nan
任何	ren he	
专业	zhuan ye	
专题	zhuan ti	
下载	xia zai	
作者	zuo zhe	
访问	fang wen	
建立	jian li	
上海	shang hai	
最新	zui xin	
会议	hui yi	会hui
连接	lian jie	
链接	lian jie	
通知	tong zhi	
发表	fa biao	
影响	ying xiang	
资料	zi liao	
政策	zheng ce	
进入	jin ru	
大学	da xue	大da
组织	zu zhi	
责任	ze ren	
规定	gui ding	
招聘	zhao pin	
制作	zhi zuo	
重点	zhong dian	重zhong
解决	jie jue	解jie
开展	kai zhan	
有关	you guan	
要求	yao qiu	
标准	biao zhun	
统计	tong ji	
意见	yi jian	见jian
范围	fan wei	
项目	xiang mu	
交通	jiao tong	
注意	zhu yi	
查询	cha xun	查cha
分类	fen lei	
详细	xiang xi	
由于	you yu	
经验	jing yan	
工业	gong ye	
价格	jia ge	价jia
会员	hui yuan	会hui|员yuan
为首	wei shou	
产业	chan ye	
改革	gai ge	革ge
友情	you qing	
增加	zeng jia	
销售	xiao shou	
作用	zuo yong	
机关	ji guan	
工商	gong shang	
不得	bu de	得de
宣传	xuan chuan	传chuan
以及	yi ji	
游戏	you xi	戏xi
北京	bei jing	
编辑	bian ji	
机构	ji gou	
生产	sheng chan	
代码	dai ma	
修改	xiu gai	
功能	gong nai	
中华	zhong hua	
手机	shou ji	
当前	dang qian	
关键	guan jian	
类型	lei xing	
直接	zhi jie	
社区	she qu	区qu
旅游	lv you	
公告	gong gao	
检查	jian cha	查cha
经营	jing ying	
业务	ye wu	
系列	xi lie	系xi
达到	da dao	
主题	zhu ti	
专家	zhuan jia	家jia
基础	ji chu	
应用	ying yong	
关注	guan zhu	
更新	geng xin	
学院	xue yuan	
分析	fen xi	
说明	shuo ming	说shuo
热点	re dian	
汽车	qi che	车che
数据	shu ju	数shu
音乐	yin yue	乐yue
根据	gen ju	
点击	dian ji	
好的	hao de	的de
负责	fu ze	
具有	ju you	
获得	huo de	得de
未经	wei jing	
维护	wei hu	
创新	chuang xin	
质量	zhi liang	
人才	ren cai	
最大	zui da	大da
学校	xue xiao	校xiao
我国	wo guo	
对于	dui yu	
表示	biao shi	
标题	biao ti	
频道	bin dao	
博客	bo ke	
许可	hu ke	
数码	shu ma	数shu
导航	dao hang	
登录	deng lu	
媒体	mei ben	
集团	ji tuan	
办法	ban fa	
都是	dou shi	都dou
只有	zhi you	
窗口	chuang kou	
学生	xue sheng	
第三	di san	
中央	zhong yang	
结合	jie he	合he
广州	guang zhou	广guang
程序	cheng xu	
查看	cha kan	查cha
之间	zhi jian	
精彩	jing cai	
报道	bao dao	
各种	ge zhong	种zhong
继续	ji xu	
版本	ban ben	
采用	cai yong	
工程	gong cheng	
转载	zhuan zai	转zhuan
拥有	yong you	
一种	yi zhong	种zhong
邮箱	you xiang	
措施	cuo shi	
因此	yin ci	
这是	zhe shi	这zhe
高级	gao ji	
商业	shang ye	
邮件	you jian	
有效	you xiao	
行为	xing wei	行xing
商品	shang pin	
时尚	shi shang	
实际	shi ji	
结构	jie gou	
消息	xiao xi	
申请	shen qing	
材料	cai liao	
原因	yuan yin	
发生	fa sheng	
栏目	lan mu	
接受	jie shou	
保护	bao hu	
右边	you bian	
我要	wo yao	
心思	xin si	思si
交易	jiao yi	
快速	kuai su	
主页	zhu ye	
确定	que ding	
正文	zheng wen	
授权	shou quan	
最高	zui gao	
心事	xin shi	
重大	zhong da	重zhong|大da
类别	lei bie	
经过	jing guo	
精神	jing shen	
新浪	xin lang	
电视	dian shi	
以来	yi lai	
效果	xiao guo	
中文	zhong wen	
热线	re xian	
通讯	tong xun	
事迹	shi ji	
记录	ji lu	
平台	ping tai	
执行	zhi xing	行xing
制度	zhi du	度du
保证	bao zheng	
一起	yi qi	
深圳	shen zhen	
小时	xiao shi	
今日	jin ri	
成果	cheng guo	
特色	te se	色se
之一	zhi yi	
工具	gong ju	
这种	zhe zhong	这zhe|种zhong
具体	ju ben	
一直	yi zhi	
广东	guang dong	广guang
共有	gong you	
体系	ben xi	系xi
很多	hen duo	
造成	zao cheng	
江苏	jiang su	
做好	zuo hao	
是以	shi yi	
房产	fang chan	房fang
积极	ji ji	
数字	shu zi	数shu
观点	guan dian	
规模	gui mo	模mo
记者	ji zhe	
事业	shi ye	
制定	zhi ding	
制订	zhi ding	
职业	zhi ye	
真是	zhen shi	
传真	chuan zhen	传chuan
操作	cao zuo	
我的	wo de	的de
复制	fu zhi	
推进	tui jin	
坚持	jian chi	
结束	jie shu	
教学	jiao xue	
十一	shi yi	
天津	tian jin	
资金	zi jin	
概况	gai kuang	
科研	ke yan	
艺术	yi shu	术shu
站点	zhan dian	
竞争	jing zheng	
热门	re men	
移动	yi dong	
发挥	fa hui	
来自	lai zi	
各项	ge xiang	
区域	qu yu	区qu
超过	chao guo	
劳动	lao dong	
正式	zheng shi	
银行	yin hang	行hang
落实	luo shi	落luo
努力	nu li	
空间	kong jian	
浙江	zhe jiang	
许多	hu duo	
承担	cheng dan	
精华	jing hua	
早上	zao shang	
战略	zhan lve	
明确	ming que	
变化	bian hua	
不可	bu ke	
运动	yun dong	
排行	pai hang	行hang
优秀	you xiu	
带来	dai lai	
律师	lv shi	
协会	xie hui	会hui
成立	cheng li	
日报	ri bao	
严格	yan ge	
地产	di chan	地di
基地	ji di	地di
重庆	chong qing	重chong
政治	zheng zhi	
体育	ben yu	育yu
阶段	jie duan	
一条	yi tiao	
收入	shou ru	
引用	yin yong	
也不	ye bu	
万元	wan yuan	万wan
商城	shang cheng	
状态	zhuang tai	
认识	ren shi	识shi
香港	xiang gang	
电影	dian ying	
农业	nong ye	
山东	shan dong	
网址	wang zhi	
实行	shi xing	行xing
领域	ling yu	
报告	bao gao	
办公	ban gong	
本页	ben ye	
输入	shu ru	
不仅	bu jin	
正常	zheng chang	
多种	duo zhong	种zhong
家庭	jia ting	家jia
之后	zhi hou	
促进	cu jin	
最近	zui jin	
丰富	feng fu	
机会	ji hui	会hui
持续	chi xu	
干部	gan bu	
召开	zhao kai	召zhao
短信	duan shen	
导致	dao zhi	
现场	xian chang	
监督	jian du	
主任	zhu ren	
举办	ju ban	
公布	gong bu	
代理	dai li	
告诉	gao su	
启动	qi dong	
举行	ju xing	行xing
大会	da hui	大da|会hui
确保	que bao	
文明	wen ming	
经典	jing dian	
创造	chuang zao	
方向	fang xiang	
好友	hao you	
甚至	shen zhi	
针对	zhen dui	
大量	da liang	大da
制造	zhi zao	
出来	chu lai	
报价	bao jia	价jia
财经	cai jing	
加盟	jia meng	
禁止	jin zhi	
保障	bao zhang	
次数	ci shu	数shu
河南	he nan	南nan
目录	mu lu	
编号	bian hao	
姓名	xing ming	
订阅	ding yue	
思想	si xiang	思si
简单	jian dan	单dan
产生	chan sheng	
绿色	lv se	绿lv|色se
价值	jia zhi	价jia
改变	gai bian	
发送	fa song	
配件	pei jian	
通信	tong shen	
自动	zi dong	
开放	kai fang	
良好	liang hao	
全文	quan wen	
字符	zi fu	
推出	tui chu	
投诉	tou su	
受到	shou dao	
分别	fen bie	
各地	ge di	地di
未来	wei lai	
真正	zhen zheng	
怎样	zen yang	
任务	ren wu	
投入	tou ru	
调研	diao yan	调diao
投稿	tou gao	
掌握	zhang wo	
感觉	gan jue	觉jue
首先	shou xian	
方便	fang bian	便bian
规则	gui ze	
扩大	kuo da	大da
面积	mian ji	
加大	jia da	大da
页面	ye mian	
湖南	hu nan	南nan
第四	di si	
超级	chao ji	
协议	xie yi	
个月	ge yue	
速度	su du	度du
机械	ji xie	
属于	shu yu	属shu
年度	nian du	度du
符合	fu he	合he
优势	you shi	
心情	xin qing	
道德	dao de	
教师	jiao shi	
及其	ji qi	其qi
相应	xiang ying	
条例	tiao li	
毕业	bi ye	
然后	ran hou	
原创	yuan chuang	
费用	fei yong	
地点	di dian	地di
一点	yi dian	
利益	li yi	
文字	wen zi	
只要	zhi yao	
考试	kao shi	
长期	chang qi	长chang|期qi
完善	wan shan	
最好	zui hao	
删除	shan chu	
条款	tiao kuan	
字体	zi ben	
卫生	wei sheng	
休闲	xiu xian	
各类	ge lei	
电信	dian shen	
测试	ce shi	
保险	bao xian	
依法	yi fa	
除了	chu le	了le
明星	ming xing	
提示	ti shi	提ti
表现	biao xian	
遵守	zun shou	
特殊	te shu	
引起	yin qi	
贯彻	guan che	
一下	yi xia	
左右	zuo you	
优惠	you hui	
成本	cheng ben	
资格	zi ge	
专区	zhuan qu	区qu
培养	pei yang	
贸易	mao yi	
故事	gu shi	
经历	jing li	
公共	gong gong	
人们	ren men	
上市	shang shi	
台湾	tai wan	
女人	nv ren	
去年	qu nian	
登记	deng ji	
集中	ji zhong	
摄影	nie ying	
严重	yan zhong	重zhong
来说	lai shuo	说shuo
一位	yi wei	
最终	zui zhong	
增长	zeng zhang	长zhang
不到	bu dao	
整体	zheng ben	
平均	ping jun	
学术	xue shu	术shu
运行	yun xing	行xing
享受	xiang shou	
素质	su zhi	
突破	tu po	
打造	da zao	
收费	shou fei	
随着	sui zhe	着zhe
都有	dou you	都dou
四川	si chuan	
多少	duo shao	
书面	shu mian	
校园	xiao yuan	校xiao
成绩	cheng ji	
提升	ti sheng	提ti
版权	ban quan	
基金	ji jin	
相当	xiang dang	
办事	ban shi	
设施	she shi	
机遇	ji yu	
意思	yi si	思si
主管	zhu guan	
供求	gong qiu	
大型	da xing	大da
认证	ren zheng	
最佳	zui jia	
有些	you suo	
女性	nv xing	
小组	xiao zu	
英语	ying yu	
就业	jiu ye	
网页	wang ye	
第五	di wu	
联盟	lian meng	
武汉	wu han	
有了	you le	了le
状况	zhuang kuang	
增强	zeng qiang	强qiang
考虑	kao lv	
找到	zhao dao	
广大	guang da	广guang|大da
辽宁	liao ning	
答疑	da ni	
困难	kun nan	
硬件	ying jian	
几个	ji ge	
各级	ge ji	
推广	tui guang	广guang
大小	da xiao	大da
流行	liu xing	行xing
更加	geng jia	
云南	yun nan	南nan
觉得	jue de	觉jue|得de
每年	mei nian	
创业	chuang ye	
十分	shi fen	
力量	li liang	
金融	jin rong	
独立	du li	
采购	cai gou	
连续	lian xu	
医院	yi yuan	
核心	he xin	核he
体现	ben xian	
医疗	yi liao	
这么	zhe me	这zhe|么me
意义	yi yi	
深入	shen ru	
整个	zheng ge	
更好	geng hao	
购物	gou wu	
也有	ye you	
适应	shi ying	适shi
即将	ji jiang	
招生	zhao sheng	
著名	zhu ming	著zhu
贡献	gong xian	
杂志	za zhi	
最低	zui di	
时期	shi qi	期qi
从事	cong shi	
推动	tui dong	
成员	cheng yuan	员yuan
机制	ji zhi	
满足	man zu	
心里	xin li	
心理	xin li	
的话	de hua	的de
降低	jiang di	降jiang
组成	zu cheng	
景象	jing xiang	
容易	rong yi	
强调	qiang diao	强qiang|调diao
有权	you quan	
美元	mei yuan	
出口	chu kou	
所在	suo zai	
政务	zheng wu	
另一	ling yi	
用品	yong pin	
必要	bi yao	
手段	shou duan	
先生	xian sheng	
检索	jian suo	
总是	zong shi	
广西	guang xi	广guang
立即	li ji	
人数	ren shu	数shu
成了	cheng le	了le
依据	yi ju	
常委	chang wei	
实验	shi yan	
谢谢	xie xie	
下来	xia lai	
鼓励	gu li	
孤立	gu li	
十六	shi liu	六liu
重视	zhong shi	重zhong
主持	zhu chi	
身份	shen bin	
事项	shi xiang	
批评	pi ping	
生命	sheng ming	
行动	xing dong	行xing
焦点	jiao dian	
现有	xian you	
职工	zhi gong	
力度	li du	度du
供应	gong ying	
新疆	xin jiang	
不足	bu zu	
很好	hen hao	
评测	ping ce	
教授	jiao shou	
突出	tu chu	
重新	chong xin	重chong
地位	di wei	地di
表明	biao ming	
首次	shou ci	
国庆	guo qing	
语言	yu yan	
图书	tu shu	
广泛	guang fan	广guang
用于	yong yu	
正确	zheng que	
群众	qun zhong	
财政	cai zheng	
高度	gao du	度du
面临	mian lin	
集体	ji ben	
影视	ying shi	
邮政	you zheng	
下午	xia wu	
产权	chan quan	
生态	sheng tai	
孩子	hai zi	
安装	an zhuang	
分辨	fen bian	
升级	sheng ji	
同样	tong yang	
照片	zhao pian	
广播	guang bo	广guang
创建	chuang jian	
做到	zuo dao	
经销	jing xiao	
面对	mian dui	
允许	yun hu	
一项	yi xiang	
设立	she li	
值得	zhi de	得de
天地	tian di	地di
之窗	zhi chuang	
权利	quan li	
提交	ti jiao	提ti
现象	xian xiang	
国外	guo wai	
近期	jin qi	期qi
上述	shang shu	
很大	hen da	大da
不少	bu shao	
自由	zi you	
动力	dong li	
绝对	jue dui	
一批	yi pi	
配套	pei tao	
视为	shi wei	
高效	gao xiao	
传播	chuan bo	传chuan
计算	ji suan	
协调	xie tiao	调tiao
安徽	an hui	
不错	bu cuo	
半年	ban nian	
审核	shen he	核he
理解	li jie	解jie
平方	ping fang	
进展	jin zhan	
高校	gao xiao	校xiao
书记	shu ji	
证明	zheng ming	
适合	shi he	适shi|合he
常见	chang jian	见jian
固定	gu ding	
较大	jiao da	大da
居民	ju min	
都市	du shi	都du
环保	huan bao	
队伍	dui wu	
减少	jian shao	
和谐	he xie	和he
效益	xiao yi	
广场	guang chang	广guang
湖北	hu bei	
论文	lun wen	
对外	dui wai	
全新	quan xin	
播放	bo fang	
专项	zhuan xiang	
二手	er shou	
生物	sheng wu	
因素	yin su	
海淀	hai dian	
风采	feng cai	
损失	sun shi	
验证	yan zheng	
尊重	zun zhong	重zhong
根本	gen ben	
此外	ci wai	
追究	dui jiu	
男人	nan ren	
引导	yin dao	
年来	nian lai	
几分	ji fen	
批准	pi zhun	
在这	zai zhe	这zhe
诚信	cheng shen	
以前	yi qian	
促销	cu xiao	
付款	fu kuan	
版主	ban zhu	
会上	hui shang	会hui
股份	gu bin	
尤其	you qi	其qi
分钟	fen zhong	
东方	dong fang	
农民	nong min	
新品	xin pin	
道路	dao lu	
客服	ke fu	
阿里	a li	阿a
互动	hu dong	
日前	ri qian	
工艺	gong yi	
取消	qu xiao	
课程	ke cheng	
不再	bu zai	
不在	bu zai	
形象	xing xiang	
资产	zi chan	
加快	jia kuai	
包装	bao zhuang	
大连	da lian	大da
阳光	yang guang	
性质	xing zhi	
执法	zhi fa	
全是	quan shi	
博士	bo shi	
财务	cai wu	
描述	miao shu	
信箱	shen xiang	
一家	yi jia	家jia
每个	mei ge	
第十	di shi	
再次	zai ci	
来了	lai le	了le
至少	zhi shao	
法制	fa zhi	
考核	kao he	核he
迅速	xun su	
上网	shang wang	
名单	ming dan	单dan
运用	yun yong	
标志	biao zhi	
预测	yu ce	
总结	zong jie	
图库	tu ku	
解释	jie shi	解jie
海南	hai nan	南nan
当地	dang di	地di
兴趣	xing cu	
德国	de guo	
风格	feng ge	
到底	dao di	底di
难以	nan yi	
关心	guan xin	
违法	wei fa	
危害	wei hai	
杭州	hang zhou	
英文	ying wen	
专门	zhuan men	
本网	ben wang	
颜色	yan se	色se
概念	gai nian	
构成	gou cheng	
举报	ju bao	
监管	jian guan	
陕西	shan xi	
加工	jia gong	
几乎	ji hu	
西部	xi bu	
申报	shen bao	
营业	ying ye	
会有	hui you	会hui
这次	zhe ci	这zhe
无论	wu lun	无wu
服装	fu zhuang	
承办	cheng ban	
本地	ben di	地di
改进	gai jin	
河北	he bei	
新华	xin hua	
自主	zi zhu	
编码	bian ma	
营销	ying xiao	
限制	xian zhi	
大力	da li	大da
肯定	ken ding	
总数	zong shu	数shu
党员	dang yuan	员yuan
司法	si fa	
节目	jie mu	
满意	man yi	
自身	zi shen	
相信	xiang shen	
公众	gong zhong	
中小	zhong xiao	
匿名	ni ming	
沈阳	chen yang	
具备	ju bei	
言论	yan lun	
尽管	jin guan	
土地	tu di	地di
等等	deng deng	
站内	zhan na	
硬盘	ying pan	
共享	gong xiang	
配合	pei he	合he
参数	can shu	参can|数shu
发言	fa yan	
感受	gan shou	
爱情	ai qing	
治疗	zhi liao	
岗位	gang wei	
免责	mian ze	
乡镇	xiang zhen	
完整	wan zheng	
要问	yao wen	
趋势	cu shi	
在我	zai wo	
吸引	xi yin	
改善	gai shan	
挑战	tiao zhan	
就会	jiu hui	会hui
当时	dang shi	
成长	cheng zhang	长zhang
各个	ge ge	
引进	yin jin	
对我	dui wo	
厂商	chang shang	厂chang
老师	lao shi	
指出	zhi chu	
西安	xi an	
常用	chang yong	
专栏	zhuan lan	
医药	yi yao	
轻松	qing song	
人在	ren zai	
相互	xiang hu	
并在	bing zai	
百万	bai wan	百bai|万wan
国有	guo you	
江西	jiang xi	
格式	ge shi	
情感	qing gan	
合理	he li	合he
终于	zhong yu	
将在	jiang zai	
只需	zhi xu	
转到	zhuan dao	转zhuan
会在	hui zai	会hui
发出	fa chu	
树立	shu li	
义务	yi wu	
录入	lu ru	
建成	jian cheng	
百姓	bai xing	百bai
秩序	zhi xu	
原来	yuan lai	
渠道	ju dao	
年代	nian dai	
