带潮蛛	dai chao zhu
带错了吧	dai cuo le ba
带错误	dai cuo wu
带大波纹蛾	dai da bo wen e
带大波纹蛾山西亚种	dai da bo wen e shan xi ya zhong
带大力宝宝	dai da li bao bao
带大明	dai da ming
带大终板的人工椎体	dai da zhong ban de ren gong zhui ti
带打牌	dai da pai
带搭不惜理	dai da bu xi li
带达	dai da
带带	dai dai
带带不	dai dai bu
带带劲	dai dai jin
带带劲劲	dai dai jin jin
带带看	dai dai kan
带带拉拉	dai dai la la
带带来	dai dai lai
带带路好么	dai dai lu hao me
带带去	dai dai qu
带带上	dai dai shang
带带我撒	dai dai wo sa
带带我行吗	dai dai wo xing ma
带带新手	dai dai xin shou
带带眼	dai dai yan
带弹幕	dai dan mu
带蛋白质	dai dan bai zhi
带挡水层的电话电缆	dai dang shui ceng de dian hua dian lan
带刀	dai dao
带刀后卫	dai dao hou wei
带刀矿工	dai dao kuang gong
带刀女捕快	dai dao nv bu kuai
带刀睡	dai dao shui
带刀卧	dai dao wo
带刀武士	dai dao wu shi
带到巴比伦王那里	dai dao ba bi lun wang na li
带到本城门长老那里	dai dao ben cheng men zhang lao na li
带到店里去照应他	dai dao dian li qu zhao ying ta
带到哈马地的利比拉	dai dao ha ma di de li bi la
带到会幕门口给祭司	dai dao hui mu men kou gei ji si
带到会幕门口交给祭司	dai dao hui mu men kou jiao gei ji si
带到惊吓的王那里	dai dao jing xia de wang na li
带到就近的地方	dai dao jiu jin de di fang
带到了啦	dai dao le la
带到哪里去了	dai dao na li qu le
带到撒玛利亚去了	dai dao sa ma li ya qu le
带到耶路撒冷受刑	dai dao ye lu sa leng shou xing
带导	dai dao
带导流孔型闸阀	dai dao liu kong xing zha fa
带导向套微型锁定髁接骨板	dai dao xiang tao wei xing suo ding ke jie gu ban
带导向套微型支持锁定接骨板	dai dao xiang tao wei xing zhi chi suo ding jie gu ban
带得海山风露	dai de hai shan feng lu
带得起来	dai de qi lai
带得无边春下	dai de wu bian chun xia
带的吧	dai de ba
带的点	dai de dian
带的过去	dai de guo qu
带的克	dai de ke
带的来	dai de lai
带的了	dai de le
带的呢	dai de ne
带的去	dai de qu
带的呀	dai de ya
带的有	dai de you
带的足足的	dai de zu zu de
带灯	dai deng
带灯按钮	dai deng an niu
带灯挂衣杆	dai deng gua yi gan
带地旧疏泉	dai di jiu shu quan
带地下室	dai di xia shi
带地线架空电缆	dai di xian jia kong dian lan
带底灯鱼	dai di deng yu
带涤尺蛾	dai di chi e
带蒂肠片肝管成形术	dai di chang pian gan guan cheng xing shu
带蒂复合组织瓣成形术	dai di fu he zu zhi ban cheng xing shu
带蒂肌瓣切取移植术	dai di ji ban qie qu yi zhi shu
带蒂肌皮瓣切取移植术	dai di ji pi ban qie qu yi zhi shu
带蒂筋膜瓣切取移植术	dai di jin mo ban qie qu yi zhi shu
带蒂皮瓣	dai di pi ban
带蒂皮瓣断蒂术	dai di pi ban duan di shu
带蒂皮瓣二期断蒂术	dai di pi ban er qi duan di shu
带蒂皮瓣去脂术	dai di pi ban qu zhi shu
带蒂皮瓣徙前术	dai di pi ban xi qian shu
带蒂皮瓣修整术	dai di pi ban xiu zheng shu
带蒂皮瓣延迟术	dai di pi ban yan chi shu
带蒂皮瓣移植术	dai di pi ban yi zhi shu
带蒂轴型皮瓣切取移植术	dai di zhou xing pi ban qie qu yi zhi shu
带蒂组织移植术	dai di zu zhi yi zhi shu
带蒂组织移植物	dai di zu zhi yi zhi wu
带垫	dai dian
带垫板	dai dian ban
带垫板形坡口	dai dian ban xing po kou
带垫螺栓	dai dian luo shuan
带点茶去提提神	dai dian cha qu ti ti shen
带点家乡话	dai dian jia xiang hua
带点来	dai dian lai
带点瘤蛾	dai dian liu e
带点伞	dai dian san
带点小滑块	dai dian xiao hua kuai
带点找	dai dian zhao
带电	dai dian
带电氨基酸	dai dian an ji suan
带电宝可梦	dai dian bao ke meng
带电部分	dai dian bu fen
带电部件	dai dian bu jian
带电操作	dai dian cao zuo
带电插拔座	dai dian cha ba zuo
带电导体	dai dian dao ti
带电导线	dai dian dao xian
带电的鳞片	dai dian de lin pian
带电的设备	dai dian de she bei
带电的羊奶	dai dian de yang nai
带电电缆	dai dian dian lan
带电电线	dai dian dian xian
带电分子推进分离法	dai dian fen zi tui jin fen li fa
带电光蝇	dai dian guang ying
带电荷残基	dai dian he can ji
带电荷喷嘴	dai dian he pen zui
带电黑洞	dai dian hei dong
带电颗粒	dai dian ke li
带电离子	dai dian li zi
带电粒子	dai dian li zi
带电粒子试验	dai dian li zi shi yan
带电粒子探测器	dai dian li zi tan ce qi
带电粒子质量	dai dian li zi zhi liang
带电量	dai dian liang
带电量为多少	dai dian liang wei duo shao
带电流	dai dian liu
带电脑票	dai dian nao piao
带电偶合装	dai dian ou he zhuang
带电平行板	dai dian ping xing ban
带电器	dai dian qi
带电枪管	dai dian qiang guan
带电容弧焊机	dai dian rong hu han ji
带电入道	dai dian ru dao
带电设备	dai dian she bei
带电体	dai dian ti
带电梯	dai dian ti
带电调试作业	dai dian tiao shi zuo ye
带电位错	dai dian wei cuo
带电系统	dai dian xi tong
带电显示器	dai dian xian shi qi
带电小球	dai dian xiao qiu
带电性	dai dian xing
带电液滴	dai dian ye di
带电油滴	dai dian you di
带电圆盾	dai dian yuan dun
带电轴	dai dian zhou
带电子弹	dai dian zi dan
带电子能量	dai dian zi neng liang
带电作业	dai dian zuo ye
带电作业用钢锯	dai dian zuo ye yong gang ju
带掉	dai diao
带掉双拼	dai diao shuang pin
带钉抹子	dai ding mo zi
带钉腰带	dai ding yao dai
带钉圆领背心	dai ding yuan ling bei xin
带顶窗	dai ding chuang
带冻死了	dai dong si le
带动	dai dong
带动道岔	dai dong dao cha
带动氛围	dai dong fen wei
带动良好	dai dong liang hao
带动能力	dai dong neng li
带动锁钮	dai dong suo niu
带动销	dai dong xiao
带洞手套	dai dong shou tao
带兜的	dai dou de
带斗式提升机	dai dou shi ti sheng ji
带度娘	dai du niang
带毒	dai du
带毒虫	dai du chong
带毒的蝎刺	dai du de xie ci
带毒体	dai du ti
带毒者	dai du zhe
带独库	dai du ku
带读写式光驱	dai du xie shi guang qu
带断裂监控器	dai duan lie jian kong qi
带断疑分汉帝河	dai duan yi fen han di he
带短跗天牛	dai duan fu tian niu
带短天牛	dai duan tian niu
带队	dai dui
带队啊	dai dui a
带队杀	dai dui sha
带盾愚人	dai dun yu ren
带钝边	dai dun bian
带钝边双	dai dun bian shuang
带钝边双形坡口	dai dun bian shuang xing po kou
带钝边形对接接头	dai dun bian xing dui jie jie tou
带钝边形坡口	dai dun bian xing po kou
带钝边形坡口接头	dai dun bian xing po kou jie tou
带亸长枝蕙	dai duo chang zhi hui
带多	dai duo
带多点钱	dai duo dian qian
带多钱	dai duo qian
带婀灰蝶	dai e hui die
带莪们	dai e men
带蛾	dai e
带蛾科	dai e ke
带蛾绒茧蜂	dai e rong jian feng
带额角天牛	dai e jiao tian niu
带额土蜂	dai e tu feng
带儿	dai er
带耳柄座衣	dai er bing zuo yi
带耳机的衣服	dai er ji de yi fu
带耳机的衣服儿童	dai er ji de yi fu er tong
带耳机的衣服夏天	dai er ji de yi fu xia tian
带耳机的衣服自带	dai er ji de yi fu zi dai
带耳机子干嘛	dai er ji zi gan ma
带耳叶蝉	dai er ye chan
带发皮片	dai fa pi pian
带发皮片簇植术	dai fa pi pian cu zhi shu
带发皮片移植术	dai fa pi pian yi zhi shu
带阀导引鞘	dai fa dao yin qiao
带阀吸氧面罩	dai fa xi yang mian zhao
带阀油壶	dai fa you hu
带返货	dai fan huo
带饭的	dai fan de
带饭就带	dai fan jiu dai
带饭了	dai fan le
带饭了吗	dai fan le ma
带方	dai fang
带方头茧蜂	dai fang tou jian feng
带访	dai fang
带防伪	dai fang wei
带绯蛛	dai fei zhu
带菲蛱蝶	dai fei jia die
带飞	dai fei
带分数	dai fen shu
带粉	dai fen
带粉泛妆楼	dai fen fan zhuang lou
带丰满	dai feng man
带凤蝶	dai feng die
带风伴雨如驰骤	dai feng ban yu ru chi zhou
带风扇的衣服工作服充电随身	dai feng shan de yi fu gong zuo fu chong dian sui shen
带副本	dai fu ben
带符号	dai fu hao
带符号的一阶系统	dai fu hao de yi jie xi tong
带符号数	dai fu hao shu
带缚	dai fu
带负荷	dai fu he
带负荷插拔连接器	dai fu he cha ba lian jie qi
带负荷分合隔离开关	dai fu he fen he ge li kai guan
带负荷前	dai fu he qian
带负荷时	dai fu he shi
带负荷试验	dai fu he shi yan
带负荷试运行时间	dai fu he shi yun xing shi jian
带负荷运转	dai fu he yun zhuan
带跗雪毒蛾	dai fu xue du e
带附件	dai fu jian
带附件的滚子链	dai fu jian de gun zi lian
带附框	dai fu kuang
带嘎子	dai ga zi
带盖	dai gai
带盖板焊缝	dai gai ban han feng
带盖方盘	dai gai fang pan
带盖尿液采集瓶	dai gai niao ye cai ji ping
带盖座	dai gai zuo
带干嘛	dai gan ma
带干嘛啊	dai gan ma a
带干啥	dai gan sha
带干什么	dai gan shen me
带干燥器的加料斗	dai gan zao qi de jia liao dou
带感觉神经皮瓣	dai gan jue shen jing pi ban
带杆骨钉	dai gan gu ding
带杆骨钉长丝	dai gan gu ding chang si
带刚	dai gang
带钢	dai gang
带钢厂	dai gang chang
带钢打印机	dai gang da yin ji
带钢单向皱纹	dai gang dan xiang zhou wen
带钢焊机	dai gang han ji
带钢加热	dai gang jia re
带钢夹持器	dai gang jia chi qi
带钢卷取机	dai gang juan qu ji
带钢宽度	dai gang kuan du
带钢拉辊	dai gang la gun
带钢冷轧机	dai gang leng zha ji
带钢圈	dai gang quan
带钢热轧机	dai gang re zha ji
带钢头尾形状测量仪	dai gang tou wei xing zhuang ce liang yi
带钢涂油机	dai gang tu you ji
带钢退火炉	dai gang tui huo lu
带钢托	dai gang tuo
带钢压紧辊	dai gang ya jin gun
带钢压延机	dai gang ya yan ji
带钢游动	dai gang you dong
带钢轧机组	dai gang zha ji zu
带钢张力计	dai gang zhang li ji
带钢支承台	dai gang zhi cheng tai
带搞	dai gao
带搞么	dai gao me
带搞么比	dai gao me bi
带搞么事	dai gao me shi
带搞么斯	dai gao me si
带搞咩	dai gao mie
带搞莫斯	dai gao mo si
带高	dai gao
带高频电离的焊接装置	dai gao pin dian li de han jie zhuang zhi
带高三的	dai gao san de
带个超市去清朝	dai ge chao shi qu qing chao
带个鬼	dai ge gui
带个口罩吧	dai ge kou zhao ba
带个啥	dai ge sha
带个娃	dai ge wa
带个我	dai ge wo
带个信儿给旺儿	dai ge xin er gei wang er
带个针眼	dai ge zhen yan
带哥儿进去太太屋里坐着	dai ge er jin qu tai tai wu li zuo zhe
带格谜	dai ge mi
带格谜大全	dai ge mi da quan
带格式	dai ge shi
带铬镍合金丝的石棉绳	dai ge nie he jin si de shi mian sheng
带隔膜压滤机	dai ge mo ya lv ji
带给读者的感悟	dai gei du zhe de gan wu
带给你咯	dai gei ni ge
带给女孩的礼物也问过他的意见	dai gei nv hai de li wu ye wen guo ta de yi jian
带给同事的传话	dai gei tong shi de chuan hua
带给我咯	dai gei wo ge
带给我们视觉上	dai gei wo men shi jue shang
带供暖	dai gong nuan
带勾	dai gou
带沟	dai gou
带钩	dai gou
带钩导线	dai gou dao xian
带钩蛾	dai gou e
带钩方丝弓托槽	dai gou fang si gong tuo cao
带钩钢筋	dai gou gang jin
带钩滑车	dai gou hua che
带古	dai gu
带固定栓的肩盂假体	dai gu ding shuan de jian yu jia ti
带固顶亮	dai gu ding liang
带姑娘去上课	dai gu niang qu shang ke
带故场	dai gu chang
带毂刨齿刀	dai gu bao chi dao
带箍无针缆索钛合金	dai gu wu zhen lan suo tai he jin
带箍桩	dai gu zhuang
带股骨铰链	dai gu gu jiao lian
带股骨全旋	dai gu gu quan xuan
带轱辘的摇篮	dai gu lu de yao lan
带骨	dai gu
带骨龙肉	dai gu long rou
带骨牛	dai gu niu
带骨牛蹄	dai gu niu ti
带骨牛蹄香	dai gu niu ti xiang
带挂架	dai gua jia
带怪	dai guai
带拐	dai guai
带关	dai guan
带管式储线器的绞合装置	dai guan shi chu xian qi de jiao he zhuang zhi
带广	dai guang
带广州	dai guang zhou
带闺女	dai gui nv
带滚子	dai gun zi
带过电压保护器框架	dai guo dian ya bao hu qi kuang jia
带过来咯	dai guo lai ge
带过曲	dai guo qu
带过要	dai guo yao
带过早	dai guo zao
带过早的	dai guo zao de
带郭	dai guo
带郭林塘尽可居	dai guo lin tang jin ke ju
带郭茅亭诗兴饶	dai guo mao ting shi xing rao
带郭西江水	dai guo xi jiang shui
带哈伦	dai ha lun
带哈子	dai ha zi
带孩儿	dai hai er
带孩子不方便	dai hai zi bu fang bian
带孩子的同时	dai hai zi de tong shi
带孩子去呀	dai hai zi qu ya
带孩子晒	dai hai zi shai
带孩子一起	dai hai zi yi qi
带孩子一起玩	dai hai zi yi qi wan
带函数	dai han shu
带汉口	dai han kou
带焊接	dai han jie
带号测度	dai hao ce du
带号测度范数	dai hao ce du fan shu
带号测度负变差	dai hao ce du fu bian cha
带号测度密度	dai hao ce du mi du
带号测度全变差	dai hao ce du quan bian cha
带号测度若尔当分解	dai hao ce du ruo er dang fen jie
带号测度正变差	dai hao ce du zheng bian cha
带号码了	dai hao ma le
带好	dai hao
带好儿	dai hao er
带好好	dai hao hao
带好啦	dai hao la
带好么	dai hao me
带好你就行了	dai hao ni jiu xing le
带好伞	dai hao san
带好身份证	dai hao shen fen zheng
带好四小药	dai hao si xiao yao
带浩波纹蛾	dai hao bo wen e
带浩然白哦包	dai hao ran bai o bao
带合肥	dai he fei
带和	dai he
带和你说	dai he ni shuo
带核	dai he
带河村	dai he cun
带河厉山	dai he li shan
带河路	dai he lu
带河路口	dai he lu kou
带河路口站	dai he lu kou zhan
带河桥	dai he qiao
带河乡	dai he xiang
带荷路	dai he lu
带荷试车	dai he shi che
带鹤驱成涧底孤	dai he qu cheng jian di gu
带黑	dai hei
带恨	dai hen
带恨的	dai hen de
带恨了	dai hen le
带恨眉儿远岫攒	dai hen mei er yuan xiu cuan
带恨样	dai hen yang
带恨样吧	dai hen yang ba
带狠	dai hen
带恒等式的谓词演算	dai heng deng shi de wei ci yan suan
带红褐色	dai hong he se
带红亲姬蜂	dai hong qin ji feng
带后院的四合院在这个家庭里	dai hou yuan de si he yuan zai zhe ge jia ting li
带护巷柱的平巷	dai hu xiang zhu de ping xiang
带湖	dai hu
带湖车站	dai hu che zhan
带湖花城	dai hu hua cheng
带湖路	dai hu lu
带湖路车站	dai hu lu che zhan
带湖路口	dai hu lu kou
带湖山庄	dai hu shan zhuang
带湖吾甚爱	dai hu wu shen ai
带湖新居将成	dai hu xin ju jiang cheng
带狐狸毛	dai hu li mao
带胡路	dai hu lu
带蝴蝶结	dai hu die jie
带化	dai hua
带化石	dai hua shi
带花的迷你	dai hua de mi ni
带花的头饰	dai hua de tou shi
带花蛱蝶	dai hua jia die
带花鮨	dai hua qi
带花青瓜	dai hua qing gua
带花秋芥晚春蔬	dai hua qiu jie wan chun shu
带花树	dai hua shu
带花天牛	dai hua tian niu
带花纹	dai hua wen
带花纹的钥匙	dai hua wen de yao shi
带花叶蛛	dai hua ye zhu
带花疑凤舞	dai hua yi feng wu
带花移得黄金栽	dai hua yi de huang jin zai
带花移牡丹	dai hua yi mu dan
带花移树小	dai hua yi shu xiao
带花园	dai hua yuan
带话	dai hua
带坏别人啊	dai huai bie ren a
带环	dai huan
带环蝶	dai huan die
带环蛱蝶	dai huan jia die
带环就位器	dai huan jiu wei qi
带环立方体网络	dai huan li fang ti wang luo
带环螺栓	dai huan luo shuan
带环去除钳	dai huan qu chu qian
带环头拉杆	dai huan tou la gan
带环疑写月	dai huan yi xie yue
带环制备	dai huan zhi bei
带黄胡蜂	dai huang hu feng
带黄陂	dai huang pi
带回	dai hui
带回单	dai hui dan
带回家好友	dai hui jia hao you
带回克	dai hui ke
带回来	dai hui lai
带回来点香菜	dai hui lai dian xiang cai
带回欠款	dai hui qian kuan
带回一条	dai hui yi tiao
带秽蝇	dai hui ying
带或窄	dai huo zhai
带活动墙板式	dai huo dong qiang ban shi
带火风轮	dai huo feng lun
带火焦桐韵本悲	dai huo jiao tong yun ben bei
带火怯凌霜	dai huo qie ling shuang
带火移星陆	dai huo yi xing lu
带火遗金斗	dai huo yi jin dou
带货	dai huo
带货出境	dai huo chu jing
带货费	dai huo fei
带几包奶	dai ji bao nai
带几多钱	dai ji duo qian
带基	dai ji
带基点的空间	dai ji dian de kong jian
带挤出	dai ji chu
带极堆焊	dai ji dui han
带积范畴	dai ji fan chou
带积合成范畴	dai ji he cheng fan chou
带襀科	dai ji ke
带计米头的挤出机	dai ji mi tou de ji chu ji
带记录密度	dai ji lu mi du
带记录器	dai ji lu qi
带鱾	dai ji
带价	dai jia
带价钱	dai jia qian
带价邮	dai jia you
带假头牙科临床模拟实习桌	dai jia tou ya ke lin chuang mo ni shi xi zhuo
带加血	dai jia xue
带夹	dai jia
带夹层	dai jia ceng
带夹钴铬合金捆绑钢缆	dai jia gu ge he jin kun bang gang lan
带家	dai jia
带家村	dai jia cun
带家教	dai jia jiao
带家具家电	dai jia ju jia dian
带家私	dai jia si
带家长	dai jia zhang
带架	dai jia
带架水枪	dai jia shui qiang
带甲	dai jia
带甲百万	dai jia bai wan
带甲连营杀气寒	dai jia lian ying sha qi han
带甲满天地	dai jia man tian di
带甲且来释	dai jia qie lai shi
带甲且未释	dai jia qie wei shi
带甲十万	dai jia shi wan
带颊吻鰕虎鱼	dai jia wen xia hu yu
带件	dai jian
带件合型	dai jian he xing
带减少	dai jian shao
带减腰围	dai jian yao wei
带剑	dai jian
带剑的调制解调器	dai jian de tiao zhi jie tiao qi
带剑的小孩	dai jian de xiao hai
带剑游淮阴	dai jian you huai yin
带尖角灰蝶	dai jian jiao hui die
带检测	dai jian ce
带箭君前诉	dai jian jun qian su
带肩对位轴	dai jian dui wei zhou
带肩过渡螺母	dai jian guo du luo mu
带肩螺母	dai jian luo mu
带肩衫套	dai jian shan tao
带肩销轴	dai jian xiao zhou
带肩锥套	dai jian zhui tao
带蒹葭	dai jian jia
带见	dai jian
带间传输	dai jian chuan shu
带将愁去	dai jiang chou qu
带将腊雪赴荆南	dai jiang la xue fu jing nan
带江	dai jiang
带江草	dai jiang cao
带江草堂	dai jiang cao tang
带江草堂邹鲢鱼	dai jiang cao tang zou lian yu
带江汉路	dai jiang han lu
带浆式搅拌器的熬料罐	dai jiang shi jiao ban qi de ao liao guan
带叫开天雷	dai jiao kai tian lei
带娇移玉柱	dai jiao yi yu zhu
带教	dai jiao
带胶垫	dai jiao dian
带脚	dai jiao
带脚按蚊	dai jiao an wen
带脚气	dai jiao qi
带脚气的	dai jiao qi de
带角	dai jiao
带角度的推线环	dai jiao du de tui xian huan
带角度刮刀	dai jiao du gua dao
带角蓟马	dai jiao ji ma
带角魔符	dai jiao mo fu
带角怒茧蜂	dai jiao nu jian feng
带铰链膨胀节	dai jiao lian peng zhang jie
带姐妹	dai jie mei
带戒指的手链	dai jie zhi de shou lian
带接	dai jie
带接杆膨胀节	dai jie gan peng zhang jie
带接合板点焊	dai jie he ban dian han
带接头	dai jie tou
带结构	dai jie gou
带结锚钉	dai jie mao ding
带结锚钉推节器	dai jie mao ding tui jie qi
带节距	dai jie ju
带节奏	dai jie zou
带阶	dai jie
带今天	dai jin tian
带劲	dai jin
带劲带劲	dai jin dai jin
带劲了吧	dai jin le ba
带劲么	dai jin me
带劲妞	dai jin niu
带劲死了	dai jin si le
带劲完了	dai jin wan le
带筋扁钢	dai jin bian gang
带筋复合轨	dai jin fu he gui
带筋钢	dai jin gang
带筋蹄	dai jin ti
带筋砖格	dai jin zhuan ge
带近视度数的太阳镜	dai jin shi du shu de tai yang jing
带进坤宁宫	dai jin kun ning gong
带进寝室	dai jin qin shi
带进他来就完了	dai jin ta lai jiu wan le
带金佩紫	dai jin pei zi
带金桥	dai jin qiao
带金师子小	dai jin shi zi xiao
带惊剩眼	dai jing sheng yan
带经	dai jing
带经而锄	dai jing er chu
带经临府吏	dai jing lin fu li
带经堂	dai jing tang
带经堂集	dai jing tang ji
带经堂诗话	dai jing tang shi hua
带经堂书目	dai jing tang shu mu
带胫骨铰链	dai jing gu jiao lian
带胫骨全旋	dai jing gu quan xuan
带茎蠛蠓	dai jing mie meng
带茎歪尾蠊	dai jing wai wei lian
带颈	dai jing
带颈板式液面计	dai jing ban shi ye mian ji
带颈衬里视镜	dai jing chen li shi jing
带颈承焊法兰	dai jing cheng han fa lan
带颈对焊法兰	dai jing dui han fa lan
带颈空前排	dai jing kong qian pai
带颈平焊	dai jing ping han
带颈平焊法兰	dai jing ping han fa lan
带颈视镜	dai jing shi jing
带酒	dai jiu
带酒吧	dai jiu ba
带酒垂鞭躞蹀回	dai jiu chui bian xie die hui
带锯厂	dai ju chang
带卷	dai juan
带卷仓库	dai juan cang ku
带卷测量装置	dai juan ce liang zhuang zhi
带卷长度	dai juan chang du
带卷秤	dai juan cheng
带卷称量秤	dai juan cheng liang cheng
带卷称量系统	dai juan cheng liang xi tong
带卷称量装置	dai juan cheng liang zhuang zhi
带卷尺寸	dai juan chi cun
带卷储存台	dai juan chu cun tai
带卷处理	dai juan chu li
带卷存放鞍座	dai juan cun fang an zuo
带卷打捆站	dai juan da kun zhan
带卷打捆装置	dai juan da kun zhuang zhi
带卷定心	dai juan ding xin
带卷堆场	dai juan dui chang
带卷垛	dai juan duo
带卷垛存台架	dai juan duo cun tai jia
带卷翻倒装置	dai juan fan dao zhuang zhi
带卷翻卷机	dai juan fan juan ji
带卷翻转装置	dai juan fan zhuan zhuang zhi
带卷防撞器	dai juan fang zhuang qi
带卷分出装置	dai juan fen chu zhuang zhi
带卷缓冲辊	dai juan huan chong gun
带卷回转装置	dai juan hui zhuan zhuang zhi
带卷架	dai juan jia
带卷检验室	dai juan jian yan shi
带卷接收器	dai juan jie shou qi
带卷卷紧法	dai juan juan jin fa
带卷开卷	dai juan kai juan
带卷开卷箱	dai juan kai juan xiang
带卷捆扎机	dai juan kun za ji
带卷平整擦伤	dai juan ping zheng ca shang
带卷起重夹钳	dai juan qi zhong jia qian
带卷升降车	dai juan sheng jiang che
带卷升降机	dai juan sheng jiang ji
带卷升降台	dai juan sheng jiang tai
带卷输出台	dai juan shu chu tai
带卷输入台	dai juan shu ru tai
带卷输送机	dai juan shu song ji
带卷输送装置	dai juan shu song zhuang zhi
带卷送进段	dai juan song jin duan
带卷套入	dai juan tao ru
带卷推出机	dai juan tui chu ji
带卷推出器	dai juan tui chu qi
带卷推出装置	dai juan tui chu zhuang zhi
带卷退火炉	dai juan tui huo lu
带卷托台	dai juan tuo tai
带卷外径	dai juan wai jing
带卷箱	dai juan xiang
带卷芯子	dai juan xin zi
带卷旋转装置	dai juan xuan zhuan zhuang zhi
带卷移送车	dai juan yi song che
带卷移送机	dai juan yi song ji
带卷预整站	dai juan yu zheng zhan
带卷预整装置	dai juan yu zheng zhuang zhi
带卷运输车	dai juan yun shu che
带卷运输机	dai juan yun shu ji
带卷运送车	dai juan yun song che
带卷直径	dai juan zhi jing
带卷直头机	dai juan zhi tou ji
带卷直头机錾	dai juan zhi tou ji zan
带卷重量	dai juan zhong liang
带卷贮存跨	dai juan zhu cun kua
带卷转向辊	dai juan zhuan xiang gun
带卷装料台	dai juan zhuang liao tai
带卷装卸台	dai juan zhuang xie tai
带卷装卸装置	dai juan zhuang xie zhuang zhi
带卷准备站	dai juan zhun bei zhan
带卷座	dai juan zuo
带矍眼蝶	dai jue yan die
带绝缘	dai jue yuan
带绝缘电缆	dai jue yuan dian lan
带军衔	dai jun xian
带菌	dai jun
带菌动物	dai jun dong wu
带菌昆虫	dai jun kun chong
带菌时间	dai jun shi jian
带菌体	dai jun ti
带菌体培养	dai jun ti pei yang
带卡尺的	dai ka chi de
带卡簧	dai ka huang
带开会	dai kai hui
带开玩笑	dai kai wan xiao
带看电影	dai kan dian ying
带康吉鳗	dai kang ji man
带克	dai ke
带可控输带装置的自动发报机	dai ke kong shu dai zhuang zhi de zi dong fa bao ji
带壳谷蛾	dai ke gu e
带壳挤压	dai ke ji ya
带客户看房子	dai ke hu kan fang zi
带客记录表格	dai ke ji lu biao ge
带髁骨头锁定接骨板	dai ke gu tou suo ding jie gu ban
带髁锁定板	dai ke suo ding ban
带坑	dai keng
带孔堵板	dai kong du ban
带孔骨元针	dai kong gu yuan zhen
带孔回转窑	dai kong hui zhuan yao
带孔雀毛的包头巾	dai kong que mao de bao tou jin
带孔销	dai kong xiao
带孔牙	dai kong ya
带孔月岩	dai kong yue yan
带孔装备	dai kong zhuang bei
带控绕丝机	dai kong rao si ji
带控制臂的电动转盘放线装置	dai kong zhi bi de dian dong zhuan pan fang xian zhuang zhi
