你撒时	ni sa shi
你啥意思了	ni sha yi si le
你啥意思吗	ni sha yi si ma
你啥意思么	ni sha yi si me
你啥意思呢	ni sha yi si ne
你啥意思你	ni sha yi si ni
你啥意思是	ni sha yi si shi
你啥庄	ni sha zhuang
你啥子	ni sha zi
你啥子意思	ni sha zi yi si
你啥作业	ni sha zuo ye
你杀	ni sha
你杀啊	ni sha a
你杀敌	ni sha di
你杀来	ni sha lai
你杀人都见过	ni sha ren dou jian guo
你杀着	ni sha zhe
你沙井	ni sha jing
你删除下	ni shan chu xia
你删了没啊	ni shan le mei a
你删一个	ni shan yi ge
你山歌	ni shan ge
你山师	ni shan shi
你扇里谁	ni shan li shui
你擅长啥	ni shan chang sha
你汕头	ni shan tou
你闪点东西	ni shan dian dong xi
你陕北	ni shan bei
你上俺家	ni shang an jia
你上班的嘛	ni shang ban de ma
你上班的那白	ni shang ban de na bai
你上班的呢	ni shang ban de ne
你上班儿	ni shang ban er
你上班老	ni shang ban lao
你上班忙不	ni shang ban mang bu
你上班没啊	ni shang ban mei a
你上班没呀	ni shang ban mei ya
你上班某	ni shang ban mou
你上班那吗	ni shang ban na ma
你上班呢啊	ni shang ban ne a
你上班呢吧	ni shang ban ne ba
你上班呢吗	ni shang ban ne ma
你上班呢没	ni shang ban ne mei
你上班呢那	ni shang ban ne na
你上班请假	ni shang ban qing jia
你上班去了吗	ni shang ban qu le ma
你上班爽呀	ni shang ban shuang ya
你上班咋样	ni shang ban za yang
你上班着	ni shang ban zhe
你上班着呢	ni shang ban zhe ne
你上班这么	ni shang ban zhe me
你上别的号	ni shang bie de hao
你上车冒	ni shang che mao
你上吃不是说	ni shang chi bu shi shuo
你上初中了吗	ni shang chu zhong le ma
你上床啦	ni shang chuang la
你上次给我说	ni shang ci gei wo shuo
你上次给我说的	ni shang ci gei wo shuo de
你上次回复	ni shang ci hui fu
你上次回来说	ni shang ci hui lai shuo
你上次就说回来	ni shang ci jiu shuo hui lai
你上次你说你是	ni shang ci ni shuo ni shi
你上次说过了	ni shang ci shuo guo le
你上大连	ni shang da lian
你上地铁	ni shang di tie
你上多长时间	ni shang duo chang shi jian
你上二班呀	ni shang er ban ya
你上废了么	ni shang fei le me
你上桂林	ni shang gui lin
你上过潞安生活网吗	ni shang guo lu an sheng huo wang ma
你上哈奇没	ni shang ha qi mei
你上海	ni shang hai
你上海的	ni shang hai de
你上海口	ni shang hai kou
你上海哦	ni shang hai o
你上海人	ni shang hai ren
你上几点	ni shang ji dian
你上几点呢	ni shang ji dian ne
你上街买啥呀	ni shang jie mai sha ya
你上镜啦	ni shang jing la
你上课的	ni shang ke de
你上课的呢	ni shang ke de ne
你上课了不	ni shang ke le bu
你上课那	ni shang ke na
你上课挺重要的	ni shang ke ting zhong yao de
你上来撒	ni shang lai sa
你上来验验货	ni shang lai yan yan huo
你上了班了	ni shang le ban le
你上了不就好了	ni shang le bu jiu hao le
你上了哪	ni shang le na
你上了人吗	ni shang le ren ma
你上礼拜	ni shang li bai
你上临沂	ni shang lin yi
你上马面	ni shang ma mian
你上么班	ni shang me ban
你上面显出来了	ni shang mian xian chu lai le
你上面一堆状态	ni shang mian yi dui zhuang tai
你上庙	ni shang miao
你上哪儿呢	ni shang na er ne
你上哪来	ni shang na lai
你上哪了	ni shang na le
你上哪料	ni shang na liao
你上哪买	ni shang na mai
你上哪呢	ni shang na ne
你上哪去来	ni shang na qu lai
你上哪去了	ni shang na qu le
你上那么	ni shang na me
你上南宁	ni shang nan ning
你上你的那个	ni shang ni de na ge
你上前来与我亲嘴	ni shang qian lai yu wo qin zui
你上去攻击毁灭这地罢	ni shang qu gong ji hui mie zhe di ba
你上去拉兵	ni shang qu la bing
你上饶	ni shang rao
你上撒	ni shang sa
你上撒班	ni shang sa ban
你上啥班呢	ni shang sha ban ne
你上山到我这里来	ni shang shan dao wo zhe li lai
你上上色	ni shang shang shai
你上上装	ni shang shang zhuang
你上什么班呢	ni shang shen me ban ne
你上视频吧	ni shang shi pin ba
你上手了	ni shang shou le
你上台说	ni shang tai shuo
你上天	ni shang tian
你上外边	ni shang wai bian
你上完课啦	ni shang wan ke la
你上网干嘛呢	ni shang wang gan ma ne
你上网很少	ni shang wang hen shao
你上网几年了	ni shang wang ji nian le
你上网上查查去	ni shang wang shang cha cha qu
你上潍坊	ni shang wei fang
你上我号干什么	ni shang wo hao gan shen me
你上我好啦	ni shang wo hao la
你上我家吧	ni shang wo jia ba
你上我们	ni shang wo men
你上我们家	ni shang wo men jia
你上我贼	ni shang wo zei
你上午的电话	ni shang wu de dian hua
你上午干啥去了	ni shang wu gan sha qu le
你上午来干嘛	ni shang wu lai gan ma
你上下午班	ni shang xia wu ban
你上线的么	ni shang xian de me
你上线晚了	ni shang xian wan le
你上线也	ni shang xian ye
你上学而	ni shang xue er
你上学没啊	ni shang xue mei a
你上夜班时	ni shang ye ban shi
你上夜机	ni shang ye ji
你上一下电脑	ni shang yi xia dian nao
你上一下试试	ni shang yi xia shi shi
你上有课没	ni shang you ke mei
你上战队系统	ni shang zhan dui xi tong
你上着班	ni shang zhe ban
你上这家	ni shang zhe jia
你上这来	ni shang zhe lai
你上周回家了吗	ni shang zhou hui jia le ma
你上周没回	ni shang zhou mei hui
你上住	ni shang zhu
你上自习	ni shang zi xi
你伤心啦	ni shang xin la
你商河	ni shang he
你商洛	ni shang luo
你商丘	ni shang qiu
你勺掉了	ni shao diao le
你勺掉了吧	ni shao diao le ba
你勺了	ni shao le
你勺子	ni shao zi
你少啊	ni shao a
你少不	ni shao bu
你少臭美	ni shao chou mei
你少打点	ni shao da dian
你少胡说	ni shao hu shuo
你少火	ni shao huo
你少来啊	ni shao lai a
你少来吧	ni shao lai ba
你少吗	ni shao ma
你少麻烦	ni shao ma fan
你少满嘴里混吣	ni shao man zui li hun qin
你少么	ni shao me
你少脑子	ni shao nao zi
你少皮干	ni shao pi gan
你少兴头些	ni shao xing tou xie
你烧的	ni shao de
你稍微一等	ni shao wei yi deng
你绍兴	ni shao xing
你绍兴人吗	ni shao xing ren ma
你邵阳	ni shao yang
你韶关	ni shao guan
你涉外	ni she wai
你舍得解开吗	ni she de jie kai ma
你舍得那么对我	ni she de na me dui wo
你舍得折腾你的	ni she de zhe teng ni de
你设立他为要惩治人	ni she li ta wei yao cheng zhi ren
你设权限了	ni she quan xian le
你设置完了之后	ni she zhi wan le zhi hou
你赦免了你百姓的罪孽	ni she mian le ni bai xing de zui nie
你谁个	ni shei ge
你什么电话	ni shen me dian hua
你什么都别说	ni shen me dou bie shuo
你什么记忆力	ni shen me ji yi li
你什么空儿跑到这里格子来了	ni shen me kong er pao dao zhei li ge zi lai le
你什么类型	ni shen me lei xing
你什么时候打得	ni shen me shi hou da de
你什么时候到	ni shen me shi hou dao
你什么时候软过	ni shen me shi hou ruan guo
你什么时候休假	ni shen me shi hou xiu jia
你什么时候走呢	ni shen me shi hou zou ne
你什么手机号	ni shen me shou ji hao
你什么手枪	ni shen me shou qiang
你什么学校的	ni shen me xue xiao de
你什么样呀	ni shen me yang ya
你什么也不信呀	ni shen me ye bu xin ya
你什么意思咯	ni shen me yi si ge
你什么意思啦	ni shen me yi si la
你什么意思了	ni shen me yi si le
你什么知道	ni shen me zhi dao
你什么职业	ni shen me zhi ye
你什时候走	ni shen shi hou zou
你婶婶听见了	ni shen shen ting jian le
你沈丘	ni shen qiu
你沈阳	ni shen yang
你深大	ni shen da
你深受其中	ni shen shou qi zhong
你深泽	ni shen ze
你深圳	ni shen zhen
你深职	ni shen zhi
你甚会	ni shen hui
你甚么都不回答么	ni shen me dou bu hui da me
你申请后	ni shen qing hou
你神大	ni shen da
你神的很	ni shen de hen
你神雕侠侣	ni shen diao xia lv
你神很	ni shen hen
你神经了吧	ni shen jing le ba
你神经衰弱	ni shen jing shuai ruo
你神魔时候	ni shen mo shi hou
你神魔时候走	ni shen mo shi hou zou
你神木	ni shen mu
你身边的人换一遍又一遍	ni shen bian de ren huan yi bian you yi bian
你身边的人需要	ni shen bian de ren xu yao
你身上不好	ni shen shang bu hao
你身上的牛肉	ni shen shang de niu rou
你身上我	ni shen shang wo
你剩下滴	ni sheng xia di
你升级则么快啊	ni sheng ji ze me kuai a
你升为	ni sheng wei
你圣殿的美福知足了	ni sheng dian de mei fu zhi zu le
你声音都变了	ni sheng yin dou bian le
你嵊州	ni sheng zhou
你生产儿女必多受苦楚	ni sheng chan er nv bi duo shou ku chu
你生了俩了	ni sheng le lia le
你生了我给你落	ni sheng le wo gei ni luo
你生么样子	ni sheng me yang zi
你生气了	ni sheng qi le
你生生日	ni sheng sheng ri
你生娃	ni sheng wa
你生物么	ni sheng wu me
你生涯	ni sheng ya
你生意咋样	ni sheng yi za yang
你生育	ni sheng yu
你生着病	ni sheng zhe bing
你盛泽	ni sheng ze
你省着花吧	ni sheng zhe hua ba
你胜芳	ni sheng fang
你世世代代的后裔	ni shi shi dai dai de hou yi
你事事	ni shi shi
你使	ni shi
你使百鸟欢唱百花盛开	ni shi bai niao huan chang bai hua sheng kai
你使长流的江河干了	ni shi chang liu de jiang he gan le
你使地面更换为新	ni shi di mian geng huan wei xin
你使劲跑啊	ni shi jin pao a
你使了再说	ni shi le zai shuo
你使利未支派近前来	ni shi li wei zhi pai jin qian lai
你使邻邦因我们纷争	ni shi lin bang yin wo men fen zheng
你使人坐车轧我们的头	ni shi ren zuo che ya wo men de tou
你使软弱转为刚强	ni shi ruan ruo zhuan wei gang qiang
你使他的光辉止息	ni shi ta de guang hui zhi xi
你使他在遭难的日子	ni shi ta zai zao nan de ri zi
你使天空绚丽大地富足	ni shi tian kong xuan li da di fu zu
你使我的年日窄如手掌	ni shi wo de nian ri zhai ru shou zhang
你使我脚下的地步宽阔	ni shi wo jiao xia de di bu kuan kuo
你使我觉得快	ni shi wo jue de kuai
你使我轮回无尽	ni shi wo lun hui wu jin
你使我们进入网罗	ni shi wo men jin ru wang luo
你使我们受邻国的羞辱	ni shi wo men shou lin guo de xiu ru
你使我抛开一切烦恼	ni shi wo pao kai yi qie fan nao
你使我生命美丽	ni shi wo sheng ming mei li
你使我双脚跳舞	ni shi wo shuang jiao tiao wu
你使亚伦和他儿子成圣	ni shi ya lun he ta er zi cheng sheng
你十分	ni shi fen
你十几岁了	ni shi ji sui le
你失败的原因只有一个	ni shi bai de yuan yin zhi you yi ge
你失忆了啊	ni shi yi le a
你实地	ni shi di
你实话	ni shi hua
你实惠点	ni shi hui dian
你实心实意	ni shi xin shi yi
你实在把他们安在滑地	ni shi zai ba ta men an zai hua di
你实在没时间	ni shi zai mei shi jian
你实在是我的骨肉	ni shi zai shi wo de gu rou
你实在是自隐的神	ni shi zai shi zi yin de shen
你屎忽	ni shi hu
你师父回来了么	ni shi fu hui lai le me
你师父那秃歪剌往那里去了	ni shi fu na tu wai la wang na li qu le
你师父也不放你们出来逛逛	ni shi fu ye bu fang ni men chu lai guang guang
你施慈爱与千万人	ni shi ci ai yu qian wan ren
你施舍呢么工作	ni shi she ne me gong zuo
你时常提着	ni shi chang ti zhe
你时代	ni shi dai
你是爱我的	ni shi ai wo de
你是俺弟弟	ni shi an di di
你是俺姐	ni shi an jie
你是安利的	ni shi an li de
你是安庆	ni shi an qing
你是安庆沟哪的	ni shi an qing gou na de
你是安丘	ni shi an qiu
你是安丘的	ni shi an qiu de
你是安阳	ni shi an yang
你是鞍山	ni shi an shan
你是吧	ni shi ba
你是霸州	ni shi ba zhou
你是白痴	ni shi bai chi
你是白痴无药医	ni shi bai chi wu yao yi
你是白沟	ni shi bai gou
你是白女士	ni shi bai nv shi
你是白她	ni shi bai ta
你是白衣天使	ni shi bai yi tian shi
你是班委吗	ni shi ban wei ma
你是保定	ni shi bao ding
你是保定的	ni shi bao ding de
你是保定的吗	ni shi bao ding de ma
你是保定哪的	ni shi bao ding na de
你是包	ni shi bao
你是包头	ni shi bao tou
你是包子呀	ni shi bao zi ya
你是宝坻	ni shi bao di
你是宝鸡	ni shi bao ji
你是宝鸡的	ni shi bao ji de
你是北京	ni shi bei jing
你是北京的	ni shi bei jing de
你是北京的吗	ni shi bei jing de ma
你是北京人	ni shi bei jing ren
你是北京人吗	ni shi bei jing ren ma
你是被工作	ni shi bei gong zuo
你是本	ni shi ben
你是本人吧	ni shi ben ren ba
你是本人呢么	ni shi ben ren ne me
你是本色	ni shi ben shai
你是本溪	ni shi ben xi
你是蚌埠	ni shi beng bu
你是变色龙啊	ni shi bian se long a
你是彪	ni shi biao
你是别	ni shi bie
你是滨州	ni shi bin zhou
你是滨州哪的	ni shi bin zhou na de
你是博山	ni shi bo shan
你是博兴	ni shi bo xing
你是不	ni shi bu
你是不吃	ni shi bu chi
你是不出来	ni shi bu chu lai
你是不得	ni shi bu de
你是不发错了	ni shi bu fa cuo le
你是不疯了	ni shi bu feng le
你是不敢	ni shi bu gan
你是不含二氧化碳的纯洁空气	ni shi bu han er yang hua tan de chun jie kong qi
你是不好	ni shi bu hao
你是不喝多了	ni shi bu he duo le
你是不记得	ni shi bu ji de
你是不就	ni shi bu jiu
你是不就不走了	ni shi bu jiu bu zou le
你是不觉得	ni shi bu jue de
你是不哭的	ni shi bu ku de
你是不困	ni shi bu kun
你是不困了	ni shi bu kun le
你是不来	ni shi bu lai
你是不买了	ni shi bu mai le
你是不买呢	ni shi bu mai ne
你是不每天	ni shi bu mei tian
你是不能	ni shi bu neng
你是不能清醒	ni shi bu neng qing xing
你是不能行了	ni shi bu neng xing le
你是不你们	ni shi bu ni men
你是不去	ni shi bu qu
你是不认得	ni shi bu ren de
你是不认识	ni shi bu ren shi
你是不傻	ni shi bu sha
你是不生气了	ni shi bu sheng qi le
你是不是彪	ni shi bu shi biao
你是不是不看见	ni shi bu shi bu kan jian
你是不是迟浩然	ni shi bu shi chi hao ran
你是不是处的	ni shi bu shi chu de
你是不是刚从	ni shi bu shi gang cong
你是不是个	ni shi bu shi ge
你是不是狗	ni shi bu shi gou
你是不是很累了	ni shi bu shi hen lei le
你是不是虎	ni shi bu shi hu
你是不是觉得我变了	ni shi bu shi jue de wo bian le
你是不是开着	ni shi bu shi kai zhe
你是不是嘛	ni shi bu shi ma
你是不是面试	ni shi bu shi mian shi
你是不是朋友吧	ni shi bu shi peng you ba
你是不是傻的	ni shi bu shi sha de
你是不是谁呀	ni shi bu shi shui ya
你是不是下载	ni shi bu shi xia zai
你是不是先看到	ni shi bu shi xian kan dao
你是不是小时候	ni shi bu shi xiao shi hou
你是不是行宫	ni shi bu shi xing gong
你是不是要来求我停止了呢	ni shi bu shi yao lai qiu wo ting zhi le ne
你是不是要这样	ni shi bu shi yao zhe yang
你是不是隐身了	ni shi bu shi yin shen le
你是不是有病了	ni shi bu shi you bing le
你是不是月经	ni shi bu shi yue jing
你是不是在二班	ni shi bu shi zai er ban
你是不是在跑远	ni shi bu shi zai pao yuan
你是不是在三班	ni shi bu shi zai san ban
你是不是在想要怎么回答我	ni shi bu shi zai xiang yao zen me hui da wo
你是不是张冰	ni shi bu shi zhang bing
你是不是总撒谎	ni shi bu shi zong sa huang
你是不睡	ni shi bu shui
你是不睡了	ni shi bu shui le
你是不玩	ni shi bu wan
你是不现在	ni shi bu xian zai
你是不想说	ni shi bu xiang shuo
你是不想我	ni shi bu xiang wo
你是不信	ni shi bu xin
你是不要	ni shi bu yao
你是不也	ni shi bu ye
你是不以为	ni shi bu yi wei
你是不已经	ni shi bu yi jing
你是不又	ni shi bu you
你是不有病	ni shi bu you bing
你是不在	ni shi bu zai
你是不在大同	ni shi bu zai da tong
你是参谋	ni shi can mou
你是沧州	ni shi cang zhou
你是沧州哪的	ni shi cang zhou na de
你是厂家什么的	ni shi chang jia shen me de
你是常州	ni shi chang zhou
你是常州人	ni shi chang zhou ren
你是昌乐	ni shi chang le
你是昌邑	ni shi chang yi
你是长春	ni shi chang chun
你是长春的	ni shi chang chun de
你是长春的吗	ni shi chang chun de ma
你是长春人	ni shi chang chun ren
你是长沙	ni shi chang sha
你是长沙的	ni shi chang sha de
你是长沙人	ni shi chang sha ren
你是长治	ni shi chang zhi
你是长治的	ni shi chang zhi de
你是城阳	ni shi cheng yang
你是城阳的	ni shi cheng yang de
你是承德	ni shi cheng de
你是吃了饭	ni shi chi le fan
你是赤峰	ni shi chi feng
你是赤峰的	ni shi chi feng de
你是赤峰哪的	ni shi chi feng na de
你是初三日在这里见她的	ni shi chu san ri zai zhe li jian ta de
你是滁州	ni shi chu zhou
你是春的使节	ni shi chun de shi jie
你是春风我是雨	ni shi chun feng wo shi yu
你是纯爷们吗	ni shi chun ye men ma
你是此生最美的风景	ni shi ci sheng zui mei de feng jing
你是从哪到哪啊	ni shi cong na dao na a
你是崔建东	ni shi cui jian dong
你是大概	ni shi da gai
你是大混混	ni shi da hun hun
你是大老板啊	ni shi da lao ban a
你是大老板吧	ni shi da lao ban ba
你是大老爷跟前人养的	ni shi da lao ye gen qian ren yang de
你是大连	ni shi da lian
你是大连的	ni shi da lian de
你是大连的吗	ni shi da lian de ma
你是大连哪的	ni shi da lian na de
你是大连人	ni shi da lian ren
你是大连人吗	ni shi da lian ren ma
你是大忙人嘛	ni shi da mang ren ma
你是大忙人呢	ni shi da mang ren ne
你是大名人呢	ni shi da ming ren ne
你是大庆	ni shi da qing
你是大同	ni shi da tong
你是答案	ni shi da an
你是呆逼	ni shi dai bi
你是带什么	ni shi dai shen me
你是丹东	ni shi dan dong
你是蛋完了吗	ni shi dan wan le ma
你是当兵的不	ni shi dang bing de bu
你是盗号的	ni shi dao hao de
你是德州	ni shi de zhou
你是德州的吗	ni shi de zhou de ma
你是德州哪的	ni shi de zhou na de
你是的呀	ni shi de ya
你是得滴	ni shi dei di
你是登封	ni shi deng feng
你是第二个啊	ni shi di er ge a
你是定州的	ni shi ding zhou de
你是东营	ni shi dong ying
你是东营的	ni shi dong ying de
你是东营的吗	ni shi dong ying de ma
你是东营哪里的	ni shi dong ying na li de
你是董珊珊不是	ni shi dong shan shan bu shi
你是对的时间对的角色	ni shi dui de shi jian dui de jue se
你是对社会很失望吗	ni shi dui she hui hen shi wang ma
你是多没有自信	ni shi duo mei you zi xin
你是多少度	ni shi duo shao du
你是烦	ni shi fan
你是饭桶	ni shi fan tong
你是饭也不管	ni shi fan ye bu guan
你是废弃敬畏的意	ni shi fei qi jing wei de yi
你是非	ni shi fei
你是丰南	ni shi feng nan
你是丰润	ni shi feng run
你是否会记起	ni shi fou hui ji qi
你是否可以	ni shi fou ke yi
你是否期待已久夏日的宝藏	ni shi fou qi dai yi jiu xia ri de bao zang
你是否是本人	ni shi fou shi ben ren
你是否想我	ni shi fou xiang wo
你是否也心动	ni shi fou ye xin dong
你是否也正被它牵引	ni shi fou ye zheng bei ta qian yin
你是否一样	ni shi fou yi yang
你是否依然爱我	ni shi fou yi ran ai wo
你是否愿意同为神的儿女	ni shi fou yuan yi tong wei shen de er nv
你是否知道	ni shi fou zhi dao
你是府里使老了的	ni shi fu li shi lao le de
你是阜新	ni shi fu xin
你是阜阳哪里人	ni shi fu yang na li ren
你是阜阳那	ni shi fu yang na
你是干嘛的了	ni shi gan ma de le
你是干啥的啊	ni shi gan sha de a
你是干啥的了	ni shi gan sha de le
你是干啥呢	ni shi gan sha ne
你是干什么的吗	ni shi gan shen me de ma
你是干什么工作	ni shi gan shen me gong zuo
你是港	ni shi gang
你是搞哪样	ni shi gao na yang
你是高碑店	ni shi gao bei dian
你是高考	ni shi gao kao
你是高楼	ni shi gao lou
你是高密	ni shi gao mi
你是高密的	ni shi gao mi de
你是高邮	ni shi gao you
你是个别扭受	ni shi ge bie niu shou
你是个不防头的人	ni shi ge bu fang tou de ren
你是个出色的女人	ni shi ge chu se de nv ren
你是个刁钻古怪鬼灵精	ni shi ge diao zuan gu guai gui ling jing
你是个多情	ni shi ge duo qing
你是个好人	ni shi ge hao ren
你是个好人吗	ni shi ge hao ren ma
你是个可人	ni shi ge ke ren
你是个老人家	ni shi ge lao ren jia
你是个明白人	ni shi ge ming bai ren
你是个傻	ni shi ge sha
你是个勺	ni shi ge shao
你是个神仙也不灵	ni shi ge shen xian ye bu ling
你是个秃子	ni shi ge tu zi
你是个小气鬼了	ni shi ge xiao qi gui le
你是个小学生	ni shi ge xiao xue sheng
你是个脂粉队里的英雄	ni shi ge zhi fen dui li de ying xiong
你是个最明白的人	ni shi ge zui ming bai de ren
你是个尊贵人	ni shi ge zun gui ren
你是给退到卡里	ni shi gei tui dao ka li
你是给我看的	ni shi gei wo kan de
你是巩义	ni shi gong yi
你是攻吗	ni shi gong ma
你是够了	ni shi gou le
你是狗牙	ni shi gou ya
你是古冶	ni shi gu ye
你是故意的不	ni shi gu yi de bu
你是瓜皮	ni shi gua pi
你是瓜子	ni shi gua zi
你是关购得吗	ni shi guan gou de ma
你是官员	ni shi guan yuan
你是光棍吗	ni shi guang gun ma
你是广饶	ni shi guang rao
你是广州	ni shi guang zhou
你是桂林	ni shi gui lin
你是贵阳	ni shi gui yang
你是贵阳的	ni shi gui yang de
你是贵阳人	ni shi gui yang ren
你是哈尔滨的吗	ni shi ha er bin de ma
你是哈市	ni shi ha shi
你是哈市的	ni shi ha shi de
你是哈市的吗	ni shi ha shi de ma
你是害死我了	ni shi hai si wo le
你是海口	ni shi hai kou
你是海拉尔	ni shi hai la er
你是海南	ni shi hai nan
你是汉中	ni shi han zhong
你是汉族	ni shi han zu
你是汉族吗	ni shi han zu ma
你是邯郸	ni shi han dan
你是邯郸的	ni shi han dan de
你是邯郸的吗	ni shi han dan de ma
你是邯郸哪的	ni shi han dan na de
你是韩	ni shi han
你是韩全新	ni shi han quan xin
你是杭州	ni shi hang zhou
你是杭州的	ni shi hang zhou de
你是好孩子	ni shi hao hai zi
你是好孩子呢	ni shi hao hai zi ne
你是何必	ni shi he bi
你是何等草芥	ni shi he deng cao jie
你是何等荣美	ni shi he deng rong mei
你是何人	ni shi he ren
你是何许人	ni shi he xu ren
你是合肥	ni shi he fei
你是合肥的	ni shi he fei de
你是合肥人	ni shi he fei ren
你是和谁要来的	ni shi he shei yao lai de
你是河东	ni shi he dong
你是河口的吗	ni shi he kou de ma
你是菏泽	ni shi he ze
你是黑暗中的光芒	ni shi hei an zhong de guang mang
你是黑大	ni shi hei da
你是很难受	ni shi hen nan shou
你是很重要	ni shi hen zhong yao
你是衡水	ni shi heng shui
你是衡水哪的	ni shi heng shui na de
你是衡水哪的呀	ni shi heng shui na de ya
你是衡阳	ni shi heng yang
你是红门会的	ni shi hong men hui de
你是后期法师	ni shi hou qi fa shi
你是猴子请来的逗逼吧	ni shi hou zi qing lai de dou bi ba
你是呼市	ni shi hu shi
你是呼市的	ni shi hu shi de
你是葫芦岛	ni shi hu lu dao
你是坏人	ni shi huai ren
你是淮北	ni shi huai bei
你是回民	ni shi hui min
你是回族	ni shi hui zu
你是惠州	ni shi hui zhou
你是辉哥	ni shi hui ge
你是即墨	ni shi ji mo
你是吉林	ni shi ji lin
你是吉林的	ni shi ji lin de
你是嫉妒吧	ni shi ji du ba
你是急性子	ni shi ji xing zi
你是济南	ni shi ji nan
你是济南的	ni shi ji nan de
你是济南的吧	ni shi ji nan de ba
你是济南的吗	ni shi ji nan de ma
你是济南的嘛	ni shi ji nan de ma
你是济南哪的	ni shi ji nan na de
你是济南哪里的	ni shi ji nan na li de
你是济南人	ni shi ji nan ren
你是济南人吗	ni shi ji nan ren ma
你是济宁	ni shi ji ning
你是济宁哪里的	ni shi ji ning na li de
你是济源的	ni shi ji yuan de
你是鸡西的吗	ni shi ji xi de ma
你是佳木斯	ni shi jia mu si
你是嫁给他	ni shi jia gei ta
你是见怪不怪了	ni shi jian guai bu guai le
你是间儿	ni shi jian er
你是间隔评委	ni shi jian ge ping wei
你是江阴	ni shi jiang yin
你是讲	ni shi jiang
你是教什么	ni shi jiao shen me
你是焦作	ni shi jiao zuo
你是焦作的	ni shi jiao zuo de
你是焦作哪的	ni shi jiao zuo na de
你是胶南	ni shi jiao nan
你是胶南的	ni shi jiao nan de
你是胶州	ni shi jiao zhou
你是胶州的	ni shi jiao zhou de
你是尽知的	ni shi jin zhi de
你是近视	ni shi jin shi
你是金牛座的	ni shi jin niu zuo de
你是锦州	ni shi jin zhou
你是救我脱离强暴的	ni shi jiu wo tuo li qiang bao de
你是莒县	ni shi ju xian
你是绝望中的盼望	ni shi jue wang zhong de pan wang
你是君子么	ni shi jun zi me
你是开的	ni shi kai de
你是开封	ni shi kai feng
你是开封的么	ni shi kai feng de me
