自动提额	zi dong ti e
自动指纹识别	zi dong zhi wen shi bie
自动指纹识别系统	zi dong zhi wen shi bie xi tong
自动止痛泵	zi dong zhi tong beng
自动止液输液器	zi dong zhi ye shu ye qi
自动痔疮套扎器	zi dong zhi chuang tao zha qi
自动直线吻合器	zi dong zhi xian wen he qi
自动质量流革校准系统	zi dong zhi liang liu ge jiao zhun xi tong
自动质押融资	zi dong zhi ya rong zi
自动中断	zi dong zhong duan
自动主汽门	zi dong zhu qi men
自动主汽门活动试验	zi dong zhu qi men huo dong shi yan
自动注释	zi dong zhu shi
自动注销	zi dong zhu xiao
自动铸锭	zi dong zhu ding
自动抓斗	zi dong zhua dou
自动抓扬机	zi dong zhua yang ji
自动转报机	zi dong zhuan bao ji
自动转撤器	zi dong zhuan che qi
自动转换	zi dong zhuan huan
自动转换开关	zi dong zhuan huan kai guan
自动转换器	zi dong zhuan huan qi
自动转接	zi dong zhuan jie
自动转矩控制	zi dong zhuan ju kong zhi
自动转台	zi dong zhuan tai
自动转向架	zi dong zhuan xiang jia
自动转信	zi dong zhuan xin
自动转帐	zi dong zhuan zhang
自动转账	zi dong zhuan zhang
自动转账服务	zi dong zhuan zhang fu wu
自动装垫圈机	zi dong zhuang dian quan ji
自动装订机	zi dong zhuang ding ji
自动装焦	zi dong zhuang jiao
自动装料	zi dong zhuang liao
自动装料车	zi dong zhuang liao che
自动装料熔炉	zi dong zhuang liao rong lu
自动装盘系统自动上盘系统	zi dong zhuang pan xi tong zi dong shang pan xi tong
自动装填	zi dong zhuang tian
自动装填模组	zi dong zhuang tian mo zu
自动装卸机	zi dong zhuang xie ji
自动装载机	zi dong zhuang zai ji
自动装载设备	zi dong zhuang zai she bei
自动装载输送机	zi dong zhuang zai shu song ji
自动装置	zi dong zhuang zhi
自动装置与自动控制	zi dong zhuang zhi yu zi dong kong zhi
自动追焦功能	zi dong zhui jiao gong neng
自动追踪	zi dong zhui zong
自动追踪对焦	zi dong zhui zong dui jiao
自动追踪功能	zi dong zhui zong gong neng
自动准备	zi dong zhun bei
自动准直	zi dong zhun zhi
自动准直光管	zi dong zhun zhi guang guan
自动准直目镜	zi dong zhun zhi mu jing
自动着陆	zi dong zhuo lu
自动自觉	zi dong zi jue
自动资产编号	zi dong zi chan bian hao
自动总机业务	zi dong zong ji ye wu
自动阻气门	zi dong zu qi men
自动钻井水龙头	zi dong zuan jing shui long tou
自动作用	zi dong zuo yong
自动坐标展点仪	zi dong zuo biao zhan dian yi
自動筆	zi dong bi
自動販賣機	zi dong fan mai ji
自動紡紗機	zi dong fang sha ji
自動濾水器	zi dong lv shui qi
自動織布機	zi dong zhi bu ji
自董卓已来	zi dong zhuo yi lai
自度	zi du
自度不能堪	zi du bu neng kan
自度曲	zi du qu
自度渊明与世疏	zi du yuan ming yu shi shu
自度众生大悲愿	zi du zhong sheng da bei yuan
自毒休眠	zi du xiu mian
自独俾臧	zi du bi zang
自獨俾臧	zi du bi zang
自睹宸居壮	zi du chen ju zhuang
自读西湖处士诗	zi du xi hu chu shi shi
自断此生休问天	zi duan ci sheng xiu wen tian
自断钉	zi duan ding
自断顶丝	zi duan ding si
自断加固锁母钛合金	zi duan jia gu suo mu tai he jin
自断螺母	zi duan luo mu
自断螺塞	zi duan luo sai
自断螺丝组	zi duan luo si zu
自断锁紧螺塞	zi duan suo jin luo sai
自对	zi dui
自对流	zi dui liu
自对偶	zi dui ou
自对偶的	zi dui ou de
自对偶范畴	zi dui ou fan chou
自对偶联络	zi dui ou lian luo
自对偶群	zi dui ou qun
自对偶图形	zi dui ou tu xing
自对问以后	zi dui wen yi hou
自对准	zi dui zhun
自对准法兰	zi dui zhun fa lan
自对准隔离工艺	zi dui zhun ge li gong yi
自队	zi dui
自多	zi duo
自多虫蚁行	zi duo chong yi xing
自多了	zi duo le
自多亲棣萼	zi duo qin di e
自多情态更谁怜	zi duo qing tai geng shui lian
自多穷岫雨	zi duo qiong xiu yu
自额	zi e
自饿法	zi e fa
自饿外道	zi e wai dao
自二帝三代秦汉以来	zi er di san dai qin han yi lai
自尔	zi er
自尔宦游四方	zi er huan you si fang
自尔家寰海	zi er jia huan hai
自尔契阔	zi er qi kuo
自尔秦书有八体	zi er qin shu you ba ti
自尔入江湖	zi er ru jiang hu
自尔水不近城	zi er shui bu jin cheng
自尔逃名姓	zi er tao ming xing
自尔为官去	zi er wei guan qu
自尔为佳节	zi er wei jia jie
自尔无宁岁	zi er wu ning sui
自尔衔幽酷	zi er xian you ku
自尔厌游侠	zi er yan you xia
自尔宴言后	zi er yan yan hou
自尔欲继往	zi er yu ji wang
自尔欲学	zi er yu xue
自而能言似相语	zi er neng yan si xiang yu
自而治天下	zi er zhi tian xia
自伐	zi fa
自伐无功	zi fa wu gong
自伐者无功	zi fa zhe wu gong
自发	zi fa
自发安眠	zi fa an mian
自发病	zi fa bing
自发病来	zi fa bing lai
自发出血	zi fa chu xie
自发磁化	zi fa ci hua
自发磁化畴	zi fa ci hua chou
自发磁化强度	zi fa ci hua qiang du
自发磁矩	zi fa ci ju
自发磁致伸缩	zi fa ci zhi shen suo
自发单性结实	zi fa dan xing jie shi
自发单性生殖	zi fa dan xing sheng zhi
自发地	zi fa de
自发的	zi fa de
自发的表象活动	zi fa de biao xiang huo dong
自发的唯物主义	zi fa de wei wu zhu yi
自发电	zi fa dian
自发电电筒	zi fa dian dian tong
自发电手电筒	zi fa dian shou dian tong
自发电位	zi fa dian wei
自发顶至辫梢	zi fa ding zhi bian shao
自发对称破缺	zi fa dui chen po que
自发发射	zi fa fa she
自发反应	zi fa fan ying
自发分解	zi fa fen jie
自发复合	zi fa fu he
自发辐射	zi fa fu she
自发辐射放大	zi fa fu she fang da
自发光	zi fa guang
自发过程	zi fa guo cheng
自发毁灭	zi fa hui mie
自发或未特指的破膜后分娩延迟	zi fa huo wei te zhi de po mo hou fen mian yan chi
自发活动	zi fa huo dong
自发极化	zi fa ji hua
自发抗病性	zi fa kang bing xing
自发裂变	zi fa lie bian
自发裂变径迹测年	zi fa lie bian jing ji ce nian
自发露得风	zi fa lu de feng
自发凝结	zi fa ning jie
自发气调贮藏	zi fa qi tiao zhu cang
自发然烧	zi fa ran shao
自发热	zi fa re
自发热温度	zi fa re wen du
自发热鞋垫	zi fa re xie dian
自发融合	zi fa rong he
自发生长运动	zi fa sheng zhang yun dong
自发生之日起七日内	zi fa sheng zhi ri qi qi ri nei
自发势力	zi fa shi li
自发失活	zi fa shi huo
自发衰变	zi fa shuai bian
自发痛	zi fa tong
自发突变	zi fa tu bian
自发蜕变	zi fa tui bian
自发吸附现象	zi fa xi fu xian xiang
自发形核	zi fa xing he
自发性侧腹壁疝	zi fa xing ce fu bi shan
自发性出血	zi fa xing chu xie
自发性的神经病变	zi fa xing de shen jing bing bian
自发性断趾病	zi fa xing duan zhi bing
自发性活动	zi fa xing huo dong
自发性肌收缩	zi fa xing ji shou suo
自发性晶状体脱位	zi fa xing jing zhuang ti tuo wei
自发性冷球蛋白血症	zi fa xing leng qiu dan bai xue zheng
自发性气胸	zi fa xing qi xiong
自发性屈肌腱破裂	zi fa xing qu ji jian po lie
自发性伸肌腱破裂	zi fa xing shen ji jian po lie
自发性审计	zi fa xing shen ji
自发性疼痛史	zi fa xing teng tong shi
自发性痛	zi fa xing tong
自发性痛阵发性加剧	zi fa xing tong zhen fa xing jia ju
自发性徒长	zi fa xing tu zhang
自发性胃穿孔	zi fa xing wei chuan kong
自发性血腹	zi fa xing xue fu
自发性血气胸	zi fa xing xue qi xiong
自发性血小板减少性紫癜	zi fa xing xue xiao ban jian shao xing zi dian
自发性痒感	zi fa xing yang gan
自发性与诱发性眼病	zi fa xing yu you fa xing yan bing
自发性圆窗膜破裂	zi fa xing yuan chuang mo po lie
自发性张力性气胸	zi fa xing zhang li xing qi xiong
自发性趾指脱落症	zi fa xing zhi zhi tuo luo zheng
自发旋光本领	zi fa xuan guang ben ling
自发演替	zi fa yan ti
自发氧化	zi fa yang hua
自发荧光	zi fa ying guang
自发运动	zi fa yun dong
自发终止	zi fa zhong zhi
自发自用电量	zi fa zi yong dian liang
自反	zi fan
自反巴拿赫空间	zi fan ba na he kong jian
自反半序集	zi fan ban xu ji
自反传递闭包	zi fan chuan di bi bao
自反的	zi fan de
自反而不缩	zi fan er bu suo
自反而缩	zi fan er suo
自反而有礼矣	zi fan er you li yi
自反而忠矣	zi fan er zhong yi
自反访问控制列表	zi fan fang wen kong zhi lie biao
自反关系	zi fan guan xi
自反函数	zi fan han shu
自反局部凸空间	zi fan ju bu tu kong jian
自反空间	zi fan kong jian
自反馈循环回路	zi fan kui xun huan hui lu
自反丘园头尽白	zi fan qiu yuan tou jin bai
自反山之幽	zi fan shan zhi you
自反体	zi fan ti
自反同	zi fan tong
自反无愧	zi fan wu kui
自反性	zi fan xing
自反异	zi fan yi
自反印	zi fan yin
自反应物质	zi fan ying wu zhi
自反转	zi fan zhuan
自反子范畴	zi fan zi fan chou
自反作用力	zi fan zuo yong li
自繁昌归	zi fan chang gui
自繁殖系统	zi fan zhi xi tong
自翻式吊桶	zi fan shi diao tong
自翻式升降车	zi fan shi sheng jiang che
自返	zi fan
自返式采样器	zi fan shi cai yang qi
自返式沉积物取芯器	zi fan shi chen ji wu qu xin qi
自返式取样管	zi fan shi qu yang guan
自返式取样器	zi fan shi qu yang qi
自放电	zi fang dian
自放鹤人归	zi fang he ren gui
自防护膜	zi fang hu mo
自匪常行迈	zi fei chang xing mai
自肥	zi fei
自费	zi fei
自费表	zi fei biao
自费出版	zi fei chu ban
自费伙食住宿	zi fei huo shi zhu su
自费其它	zi fei qi ta
自费药	zi fei yao
自费疫苗	zi fei yi miao
自非北海孔文举	zi fei bei hai kong wen ju
自非秉昭旷	zi fei bing zhao kuang
自非才高识妙	zi fei cai gao shi miao
自非车骑将军势	zi fei che qi jiang jun shi
自非传尺素	zi fei chuan chi su
自非此文	zi fei ci wen
自非大祭时	zi fei da ji shi
自非得神仙	zi fei dei shen xian
自非二人	zi fei er ren
自非风动天	zi fei feng dong tian
自非服药炼液焉能不饮食乎	zi fei fu yao lian ye yan neng bu yin shi hu
自非刚克掩义	zi fei gang ke yan yi
自非高闲怀素不能此	zi fei gao xian huai su bu neng ci
自非耿令君	zi fei geng ling jun
自非旧有之辞	zi fei jiu you zhi ci
自非绝殊尤	zi fei jue shu you
自非谲敌	zi fei jue di
自非旷士怀	zi fei kuang shi huai
自非明如日	zi fei ming ru ri
自非磨莹工	zi fei mo ying gong
自非仁智符天赏	zi fei ren zhi fu tian shang
自非上哲	zi fei shang zhe
自非身有求	zi fei shen you qiu
自非松柏姿	zi fei song bai zi
自非随氏掌	zi fei sui shi zhang
自非随武贤	zi fei sui wu xian
自非太学生	zi fei tai xue sheng
自非陶靖节	zi fei tao jing jie
自非亭午夜分	zi fei ting wu ye fen
自非亡国客	zi fei wang guo ke
自非为斯人	zi fei wei si ren
自非晓相访	zi fei xiao xiang fang
自非心已灰	zi fei xin yi hui
自非行役人	zi fei xing yi ren
自非圆鉴区域	zi fei yuan jian qu yu
自非周圆器	zi fei zhou yuan qi
自飞来妖丹	zi fei lai yao dan
自分	zi fen
自分界码	zi fen jie ma
自分解	zi fen jie
自分流年晚	zi fen liu nian wan
自分泌	zi fen mi
自分配性	zi fen pei xing
自分身为虀粉碎	zi fen shen wei ji fen sui
自奋	zi fen
自焚	zi fen
自焚岂非天	zi fen qi fei tian
自凤冢	zi feng zhong
自奉	zi feng
自奉必须俭约	zi feng bi xu jian yue
自奉菲薄	zi feng fei bo
自奉虽不厚	zi feng sui bu hou
自封	zi feng
自封闭盖层	zi feng bi gai ceng
自封口袋	zi feng kou dai
自封炉门	zi feng lu men
自封山	zi feng shan
自封式	zi feng shi
自封式轮胎	zi feng shi lun tai
自封式吸油滤油器	zi feng shi xi you lv you qi
自封式旋塞阀	zi feng shi xuan sai fa
自封修药院	zi feng xiu yao yuan
自封由壬	zi feng you ren
自风	zi feng
自风牌	zi feng pai
自风雅寝声	zi feng ya qin sheng
自付款	zi fu kuan
自俘获电子	zi fu huo dian zi
自俘获激子	zi fu huo ji zi
自复	zi fu
自复保险丝	zi fu bao xian si
自复寄生	zi fu ji sheng
自复轮胎	zi fu lun tai
自复式	zi fu shi
自复式按钮	zi fu shi an niu
自复式熔断器	zi fu shi rong duan qi
自复位热断路器	zi fu wei re duan lu qi
自夫子删述	zi fu zi shan shu
自夫子之死也	zi fu zi zhi si ye
自富	zi fu
自富阳至桐庐	zi fu yang zhi tong lu
自富阳至桐庐一百许里	zi fu yang zhi tong lu yi bai xu li
自府	zi fu
自扶桑	zi fu sang
自拂尘埃席	zi fu chen ai xi
自服安眠药	zi fu an mian yao
自服安坦	zi fu an tan
自服巴比妥类中毒	zi fu ba bi tuo lei zhong du
自服避孕药	zi fu bi yun yao
自服杜冷丁	zi fu du leng ding
自服毒个人史	zi fu du ge ren shi
自服多种特指药物	zi fu duo zhong te zhi yao wu
自服腐蚀性物质	zi fu fu shi xing wu zhi
自服海洛因	zi fu hai luo yin
自服混合型镇静剂药	zi fu hun he xing zhen jing ji yao
自服机动车废气	zi fu ji dong che fei qi
自服抗胆碱能药物的	zi fu kang dan jian neng yao wu de
自服硫	zi fu liu
自服农药	zi fu nong yao
自服杀虫剂	zi fu sha chong ji
自服鼠药	zi fu shu yao
自服务	zi fu wu
自服异烟肼	zi fu yi yan jing
自服有机磷	zi fu you ji lin
自服镇静剂和催眠剂	zi fu zhen jing ji he cui mian ji
自服止痛剂	zi fu zhi tong ji
自浮光访余于高安	zi fu guang fang yu yu gao an
自浮泥管	zi fu ni guan
自父亲死后	zi fu qin si hou
自符河朔趣	zi fu he shuo qu
自缚	zi fu
自缚的我	zi fu de wo
自缚斗升禄	zi fu dou sheng lu
自缚何殊蚕作茧	zi fu he shu can zuo jian
自缚请罪	zi fu qing zui
自缚也	zi fu ye
自负	zi fu
自负霸王略	zi fu ba wang lue
自负不凡	zi fu bu fan
自负床位费	zi fu chuang wei fei
自负此轭	zi fu ci e
自负的演员	zi fu de yan yuan
自负护肩	zi fu hu jian
自负芦圌柄	zi fu lu chuan bing
自负呢	zi fu ne
自负其能	zi fu qi neng
自负神优雅长袍	zi fu shen you ya chang pao
自负十馀年	zi fu shi yu nian
自负万钧重	zi fu wan jun zhong
自负以不肖之罪	zi fu yi bu xiao zhi zui
自负因自叹	zi fu yin zi tan
自负盈亏	zi fu ying kui
自负责任	zi fu ze ren
自辐射	zi fu she
自嘎	zi ga
自噶	zi ga
自改	zi gai
自该法定代理终止之日起计算	zi gai fa ding dai li zhong zhi zhi ri qi ji suan
自干漆	zi gan qi
自干强度	zi gan qiang du
自干涂料	zi gan tu liao
自干云天去	zi gan yun tian qu
自感	zi gan
自感变压器	zi gan bian ya qi
自感成咏	zi gan cheng yong
自感磁链	zi gan ci lian
自感磁通	zi gan ci tong
自感磁通量	zi gan ci tong liang
自感电动势	zi gan dian dong shi
自感多福者耳	zi gan duo fu zhe er
自感劳累分级	zi gan lao lei fen ji
自感明时起	zi gan ming shi qi
自感耦合	zi gan ou he
自感系数	zi gan xi shu
自感系数很大	zi gan xi shu hen da
自感现象	zi gan xian xiang
自感线圈里	zi gan xian quan li
自感线圈中	zi gan xian quan zhong
自感应	zi gan ying
自敢	zi gan
自甘暴弃	zi gan bao qi
自甘堕落	zi gan duo luo
自甘寂寞坐诗穷	zi gan ji mo zuo shi qiong
自甘落后	zi gan luo hou
自甘茅屋老三间	zi gan mao wu lao san jian
自甘穷僻古人同	zi gan qiong pi gu ren tong
自甘辛苦为	zi gan xin ku wei
自甘坠落同好会	zi gan zhui luo tong hao hui
自杠四宝	zi gang si bao
自纲	zi gang
自告奋勇	zi gao fen yong
自搞	zi gao
自高季迪	zi gao ji di
自高其功	zi gao qi gong
自高头宜春梨园二伎坊内人	zi gao tou yi chun li yuan er ji fang nei ren
自高贤	zi gao xian
自高贤也	zi gao xian ye
自高自大	zi gao zi da
自个	zi ge
自个不知道	zi ge bu zhi dao
自个倒	zi ge dao
自个儿	zi ge er
自个去问啊	zi ge qu wen a
自割其股以食文公	zi ge qi gu yi shi wen gong
自各	zi ge
自各儿	zi ge er
自格	zi ge
自歌谁答	zi ge shui da
自歌新词酒如空	zi ge xin ci jiu ru kong
自歌自舞	zi ge zi wu
自葛载	zi ge zai
自隔离	zi ge li
自给自足	zi gei zi zu
自根儿	zi gen er
自跟踪相关器	zi gen zong xiang guan qi
自耕稼陶渔以至为帝	zi geng jia tao yu yi zhi wei di
自耕农	zi geng nong
自耕自刈食为天	zi geng zi yi shi wei tian
自供	zi gong
自供空气救生艇	zi gong kong qi jiu sheng ting
自供暖	zi gong nuan
自公布德政	zi gong bu de zheng
自公斗三百	zi gong dou san bai
自公多暇延参佐	zi gong duo xia yan can zuo
自公返蓬荜	zi gong fan peng bi
自公及归沐	zi gong ji gui mu
自公来问易	zi gong lai wen yi
自公理斯郡	zi gong li si jun
自公令之	zi gong ling zhi
自公去后五百载	zi gong qu hou wu bai zai
自公退食	zi gong tui shi
自公退食一炉香	zi gong tui shi yi lu xiang
自公召之	zi gong zhao zhi
自共轭的	zi gong e de
自共轭分拆	zi gong e fen chai
自共轭拉丁方	zi gong e la ding fang
自共轭理想类	zi gong e li xiang lei
自共牡丹长作对	zi gong mu dan chang zuo dui
自共振柱试验	zi gong zhen zhu shi yan
自功之色	zi gong zhi se
自巩	zi gong
自巩洛舟行入黄河即事	zi gong luo zhou xing ru huang he ji shi
自攻	zi gong
自攻部分螺纹空心螺钉	zi gong bu fen luo wen kong xin luo ding
自攻钉	zi gong ding
自攻钉钛	zi gong ding tai
自攻杆钛钉	zi gong gan tai ding
