贸易大学	mao yi da xue
贸易学校	mao yi xue xiao
贸易学院	mao yi xue yuan
贸易一体化	mao yi yi ti hua
贸易议定书	mao yi yi ding shu
贸易盈余	mao yi ying yu
贸易园	mao yi yuan
贸易展	mao yi zhan
贸易战	mao yi zhan
贸易站	mao yi zhan
贸易折扣	mao yi zhe kou
贸易争端	mao yi zheng duan
贸易值	mao yi zhi
贸易制裁	mao yi zhi cai
贸易指数	mao yi zhi shu
贸易秩序	mao yi zhi xu
贸易职业	mao yi zhi ye
贸易中心	mao yi zhong xin
贸易终结	mao yi zhong jie
贸易咨询	mao yi zi xun
贸易自由化	mao yi zi you hua
贸易资本流动	mao yi zi ben liu dong
贸易总体数字	mao yi zong ti shu zi
贸易组	mao yi zu
贸有	mao you
贸雨渤敦詹	mao yu bo dun zhan
贸源街	mao yuan jie
贸仲	mao zhong
贸总酒店	mao zong jiu dian
鄚县	mao xian
鄚州镇	mao zhou zhen
鄚州镇二街村	mao zhou zhen er jie cun
鄚州镇二铺村	mao zhou zhen er pu cun
鄚州镇三街村	mao zhou zhen san jie cun
鄚州镇四街村	mao zhou zhen si jie cun
鄚州镇四铺村	mao zhou zhen si pu cun
鄚州镇一街村	mao zhou zhen yi jie cun
鄚州镇一铺村	mao zhou zhen yi pu cun
鄮峯真隐漫录	mao feng zhen yin man lu
鄮峰真隐漫录	mao feng zhen yin man lu
鄮山	mao shan
鄮县	mao xian
酕醄	mao tao
酕醄大醉	mao tao da zui
鉚釘	mao ding
鉾或剑	mao huo jian
铆锤	mao chui
铆倒	mao dao
铆钉	mao ding
铆钉板鞋	mao ding ban xie
铆钉船长帽	mao ding chuan zhang mao
铆钉锤	mao ding chui
铆钉定则	mao ding ding ze
铆钉对接	mao ding dui jie
铆钉盾牌	mao ding dun pai
铆钉杆	mao ding gan
铆钉杆面积	mao ding gan mian ji
铆钉钢	mao ding gang
铆钉菇	mao ding gu
铆钉菇科	mao ding gu ke
铆钉菇属	mao ding gu shu
铆钉护手	mao ding hu shou
铆钉火焰清理	mao ding huo yan qing li
铆钉机	mao ding ji
铆钉夹克	mao ding jia ke
铆钉间距	mao ding jian ju
铆钉孔烧穿器	mao ding kong shao chuan qi
铆钉裤	mao ding ku
铆钉冷镦机	mao ding leng dun ji
铆钉联接	mao ding lian jie
铆钉连接	mao ding lian jie
铆钉连接质量检验	mao ding lian jie zhi liang jian yan
铆钉炉	mao ding lu
铆钉抹胸	mao ding mo xiong
铆钉模	mao ding mo
铆钉膜	mao ding mo
铆钉牡蛎	mao ding mu li
铆钉皮裤紧身	mao ding pi ku jin shen
铆钉皮衣男	mao ding pi yi nan
铆钉枪	mao ding qiang
铆钉枪冲头	mao ding qiang chong tou
铆钉切割	mao ding qie ge
铆钉熔切器	mao ding rong qie qi
铆钉上头	mao ding shang tou
铆钉试验	mao ding shi yan
铆钉手环	mao ding shou huan
铆钉手套	mao ding shou tao
铆钉铁	mao ding tie
铆钉头	mao ding tou
铆钉头顶锻	mao ding tou ding duan
铆钉袜圈	mao ding wa quan
铆钉外套男	mao ding wai tao nan
铆钉舞曲	mao ding wu qu
铆钉舞曲雾	mao ding wu qu wu
铆钉线	mao ding xian
铆钉靴	mao ding xue
铆钉用锻工炉	mao ding yong duan gong lu
铆钉用铝	mao ding yong lv
铆钉圆盾	mao ding yuan dun
铆钉镇	mao ding zhen
铆钉阻力	mao ding zu li
铆钉作头	mao ding zuo tou
铆顶	mao ding
铆锻	mao duan
铆工	mao gong
铆工工作	mao gong gong zuo
铆固	mao gu
铆固作用	mao gu zuo yong
铆焊	mao han
铆焊并用接头	mao han bing yong jie tou
铆焊厂	mao han chang
铆焊工段	mao han gong duan
铆焊加工	mao han jia gong
铆焊件	mao han jian
铆焊接头	mao han jie tou
铆合管	mao he guan
铆合箱	mao he xiang
铆铰	mao jiao
铆铰机	mao jiao ji
铆接	mao jie
铆接操作	mao jie cao zuo
铆接冲子	mao jie chong zi
铆接船体结构	mao jie chuan ti jie gou
铆接法	mao jie fa
铆接钢结构	mao jie gang jie gou
铆接钢梁	mao jie gang liang
铆接工具	mao jie gong ju
铆接工序	mao jie gong xu
铆接件	mao jie jian
铆接炉缸	mao jie lu gang
铆接模具	mao jie mu ju
铆接设备	mao jie she bei
铆接坦克车	mao jie tan ke che
铆接铁轮箍	mao jie tie lun gu
铆接叶轮	mao jie ye lun
铆接用压力机	mao jie yong ya li ji
铆劲	mao jin
铆劲儿	mao jin er
铆牢	mao lao
铆螺母枪	mao luo mu qiang
铆平铆钉	mao ping mao ding
铆起	mao qi
铆枪	mao qiang
铆是铆	mao shi mao
铆铁腿甲	mao tie tui jia
铆头模	mao tou mo
铆压	mao ya
铆柱	mao zhu
铆足力气	mao zu li qi
锚斑	mao ban
锚板	mao ban
锚杯	mao bei
锚臂	mao bi
锚标	mao biao
锚冰	mao bing
锚柄	mao bing
锚泊	mao bo
锚泊地	mao bo di
锚泊定位	mao bo ding wei
锚泊加油	mao bo jia you
锚泊结构	mao bo jie gou
锚泊设备	mao bo she bei
锚泊状态	mao bo zhuang tai
锚场	mao chang
锚承压板	mao cheng ya ban
锚齿卷瓣兰	mao chi juan ban lan
锚船舱	mao chuan cang
锚床	mao chuang
锚唇	mao chun
锚蝽科	mao chun ke
锚刺果	mao ci guo
锚刺果属	mao ci guo shu
锚蛋白	mao dan bai
锚蛋白重复序列	mao dan bai chong fu xu lie
锚灯	mao deng
锚地	mao di
锚地宾馆	mao di bin guan
锚地传送点	mao di chuan song dian
锚地广场	mao di guang chang
锚垫板	mao dian ban
锚点	mao dian
锚点捕捉	mao dian bu zhuo
锚雕塑	mao diao su
锚雕塑草图	mao diao su cao tu
锚定	mao ding
锚定板	mao ding ban
锚定板板桩墙	mao ding ban ban zhuang qiang
锚定板挡土墙	mao ding ban dang tu qiang
锚定板墙	mao ding ban qiang
锚定板桩墙	mao ding ban zhuang qiang
锚定部分	mao ding bu fen
锚定材料	mao ding cai liao
锚定催化剂	mao ding cui hua ji
锚定蛋白	mao ding dan bai
锚定挡土板	mao ding dang tu ban
锚定件	mao ding jian
锚定孔	mao ding kong
锚定框架	mao ding kuang jia
锚定螺钉	mao ding luo ding
锚定螺栓	mao ding luo shuan
锚定门桥	mao ding men qiao
锚定粘结应力	mao ding nian jie ying li
锚定墙	mao ding qiang
锚定实界	mao ding shi jie
锚定式板桩	mao ding shi ban zhuang
锚定式教学	mao ding shi jiao xue
锚定水雷	mao ding shui lei
锚定调整启发法	mao ding tiao zheng qi fa fa
锚定物	mao ding wu
锚定线	mao ding xian
锚定效应	mao ding xiao ying
锚定引物	mao ding yin wu
锚定与调整启发法	mao ding yu tiao zheng qi fa fa
锚定主权干扰设施	mao ding zhu quan gan rao she shi
锚定桩	mao ding zhuang
锚定资料浮标	mao ding zi liao fu biao
锚碇	mao ding
锚碇板式	mao ding ban shi
锚碇板式桥台	mao ding ban shi qiao tai
锚碇结构	mao ding jie gou
锚碇墙	mao ding qiang
锚碇式挡土墙	mao ding shi dang tu qiang
锚钉	mao ding
锚锭	mao ding
锚锭板式挡土墙	mao ding ban shi dang tu qiang
锚端链节	mao duan lian jie
锚墩	mao dun
锚浮标	mao fu biao
锚符幽灵船长期停泊	mao fu you ling chuan chang qi ting bo
锚干	mao gan
锚杆	mao gan
锚杆安装设备	mao gan an zhuang she bei
锚杆挡墙	mao gan dang qiang
锚杆挡土墙	mao gan dang tu qiang
锚杆垫板	mao gan dian ban
锚杆钢带	mao gan gang dai
锚杆及土钉墙支护工程检验批质量验收记录表	mao gan ji tu ding qiang zhi hu gong cheng jian yan pi zhi liang yan shou ji lu biao
锚杆基本试验	mao gan ji ben shi yan
锚杆机	mao gan ji
锚杆搅拌器	mao gan jiao ban qi
锚杆静压桩	mao gan jing ya zhuang
锚杆静压桩托换	mao gan jing ya zhuang tuo huan
锚杆抗浮	mao gan kang fu
锚杆框架格	mao gan kuang jia ge
锚杆框架梁	mao gan kuang jia liang
锚杆梁支护	mao gan liang zhi hu
锚杆锚索支护	mao gan mao suo zhi hu
锚杆锚索支护办公室	mao gan mao suo zhi hu ban gong shi
锚杆式	mao gan shi
锚杆式挡土墙	mao gan shi dang tu qiang
锚杆台车	mao gan tai che
锚杆网支护	mao gan wang zhi hu
锚杆修复	mao gan xiu fu
锚杆衍枷支护	mao gan yan jia zhi hu
锚杆验收试验	mao gan yan shou shi yan
锚杆支护	mao gan zhi hu
锚杆支架费	mao gan zhi jia fei
锚杆轴力	mao gan zhou li
锚杆钻杆	mao gan zuan gan
锚杆钻机	mao gan zuan ji
锚钢	mao gang
锚沟	mao gou
锚钩	mao gou
锚钩金唇兰	mao gou jin chun lan
锚钩吻兰	mao gou wen lan
锚固	mao gu
锚固安装	mao gu an zhuang
锚固坝袋	mao gu ba dai
锚固板	mao gu ban
锚固槽	mao gu cao
锚固长度	mao gu chang du
锚固缝	mao gu feng
锚固钢筋	mao gu gang jin
锚固沟	mao gu gou
锚固钩	mao gu gou
锚固件	mao gu jian
锚固胶	mao gu jiao
锚固筋	mao gu jin
锚固块	mao gu kuai
锚固力	mao gu li
锚固螺栓	mao gu luo shuan
锚固强度	mao gu qiang du
锚固区	mao gu qu
锚固位错	mao gu wei cuo
锚固型	mao gu xing
锚固型陶瓷面砖	mao gu xing tao ci mian zhuan
锚冠	mao guan
锚横杆	mao heng gan
锚环法	mao huan fa
锚徽	mao hui
锚击	mao ji
锚机	mao ji
锚机操作平台	mao ji cao zuo ping tai
锚机底座	mao ji di zuo
锚架	mao jia
锚铰机	mao jiao ji
锚筋	mao jin
锚具	mao ju
锚具砖木结构	mao ju zhuan mu jie gou
锚孔	mao kong
锚块	mao kuai
锚拉杆	mao la gan
锚拉力试验	mao la li shi yan
锚缆	mao lan
锚雷	mao lei
锚链	mao lian
锚链舱	mao lian cang
锚链等级	mao lian deng ji
锚链钢	mao lian gang
锚链管	mao lian guan
锚链环	mao lian huan
锚链绞花	mao lian jiao hua
锚链接	mao lian jie
锚链节	mao lian jie
锚链拉断试验	mao lian la duan shi yan
锚链拉力试验	mao lian la li shi yan
锚链轮	mao lian lun
锚链筒	mao lian tong
锚链脱钩	mao lian tuo gou
锚链张紧器	mao lian zhang jin qi
锚链转环	mao lian zhuan huan
锚螺	mao luo
锚螺钢	mao luo gang
锚没有九条命	mao mei you jiu tiao ming
锚啮入性	mao nie ru xing
锚喷	mao pen
锚喷段架金支维修	mao pen duan jia jin zhi wei xiu
锚喷护壁	mao pen hu bi
锚喷联合支护	mao pen lian he zhi hu
锚喷支护	mao pen zhi hu
锚喷支护检验批质量验收记录表	mao pen zhi hu jian yan pi zhi liang yan shou ji lu biao
锚球	mao qiu
锚区	mao qu
锚入	mao ru
锚山	mao shan
锚绳	mao sheng
锚室	mao shi
锚式	mao shi
锚式搅拌机	mao shi jiao ban ji
锚式搅拌器	mao shi jiao ban qi
锚式聚合酶链	mao shi ju he mei lian
锚式套管	mao shi tao guan
锚石	mao shi
锚束	mao shu
锚束自由段	mao shu zi you duan
锚栓	mao shuan
锚栓槽	mao shuan cao
锚栓孔	mao shuan kong
锚丝	mao si
锚索	mao suo
锚索浮标	mao suo fu biao
锚索计	mao suo ji
锚索搅拌器	mao suo jiao ban qi
锚索涨拉机	mao suo zhang la ji
锚索支护	mao suo zhi hu
锚索桩	mao suo zhuang
锚鳎	mao ta
锚套装	mao tao zhuang
锚艇	mao ting
锚头	mao tou
锚头城	mao tou cheng
锚头泡	mao tou pao
锚头鳋	mao tou sao
锚头鱼蚤属	mao tou yu zao shu
锚投落试验	mao tou luo shi yan
锚图案	mao tu an
锚腿	mao tui
锚网	mao wang
锚网梁修复	mao wang liang xiu fu
锚网喷	mao wang pen
锚位	mao wei
锚文本	mao wen ben
锚文字	mao wen zi
锚纹蛾科	mao wen e ke
锚纹蛾总科	mao wen e zong ke
锚纹深度	mao wen shen du
锚系定位	mao xi ding wei
锚卸扣	mao xie kou
锚卸扣锥销	mao xie kou zhui xiao
锚形体	mao xing ti
锚形铁钩	mao xing tie gou
锚穴	mao xue
锚眼圈锚台	mao yan quan mao tai
锚洋巷	mao yang xiang
锚营	mao ying
锚营村	mao ying cun
锚用钢丝绳	mao yong gang si sheng
锚与锚链试验合格	mao yu mao lian shi yan he ge
锚原纤维	mao yuan xian wei
锚爪	mao zhao
锚爪袭角	mao zhao xi jiao
锚爪折角	mao zhao zhe jiao
锚着	mao zhe
锚着长度	mao zhe chang du
锚着因子	mao zhe yin zi
锚至锚孔起锚完毕	mao zhi mao kong qi mao wan bi
锚柱兰	mao zhu lan
锚柱兰属	mao zhu lan shu
锚注管	mao zhu guan
锚抓力	mao zhua li
锚抓重比	mao zhua zhong bi
锚桩	mao zhuang
锚状骨内种植体	mao zhuang gu nei zhong zhi ti
锚锥	mao zhui
霿雾数起	mao wu shu qi
髦残	mao can
髦儿戏	mao er xi
髦儿戏子	mao er xi zi
髦节	mao jie
髦俊	mao jun
髦儁	mao jun
髦马	mao ma
髦士	mao shi
髦士久台阁	mao shi jiu tai ge
髦士日登造	mao shi ri deng zao
髦士攸宜	mao shi you yi
髦士佐京邑	mao shi zuo jing yi
髦硕	mao shuo
髦头	mao tou
髦彦星辰下	mao yan xing chen xia
么	me
么爱	me ai
么矮	me ai
么艾	me ai
么安堤	me an di
么安排	me an pai
么昂	me ang
么昂啊	me ang a
么昂吧	me ang ba
么昂不	me ang bu
么昂不好	me ang bu hao
么昂吃	me ang chi
么昂的	me ang de
么昂搞	me ang gao
么昂高	me ang gao
么昂过	me ang guo
么昂看	me ang kan
么昂克	me ang ke
么昂来	me ang lai
么昂了	me ang le
么昂了啊	me ang le a
么昂了撒	me ang le sa
么昂勒	me ang le
么昂列	me ang lie
么昂咧	me ang lie
么昂么昂	me ang me ang
么昂咩	me ang mie
么昂呢	me ang ne
么昂鸟	me ang niao
么昂捏	me ang nie
么昂哦	me ang o
么昂怕	me ang pa
么昂去	me ang qu
么昂撒	me ang sa
么昂睡	me ang shui
么昂说	me ang shuo
么昂说的	me ang shuo de
么昂玩	me ang wan
么昂想	me ang xiang
么昂想的	me ang xiang de
么昂晓得	me ang xiao de
么昂走	me ang zou
么昂做	me ang zuo
么熬	me ao
么扒	me ba
么把	me ba
么把你	me ba ni
么办	me ban
么办啊	me ban a
么办法	me ban fa
么办法啊	me ban fa a
么办法的	me ban fa de
么办法了	me ban fa le
么办法呢	me ban fa ne
么办法说	me ban fa shuo
么办法呀	me ban fa ya
么办咯	me ban ge
么办了	me ban le
么办咧	me ban lie
么办咩	me ban mie
么办呢	me ban ne
么办捏	me ban nie
么办哦	me ban o
么办呀	me ban ya
么板眼	me ban yan
么班	me ban
么包	me bao
么宝	me bao
么呗	me bei
么背住	me bei zhu
么被	me bei
么本事	me ben shi
么必	me bi
么必要	me bi yao
么必要骗你	me bi yao pian ni
么比啦	me bi la
么比拍啊这是	me bi pai a zhe shi
么逼	me bi
么逼么逼	me bi me bi
么逼人	me bi ren
么逼撒	me bi sa
么逼事	me bi shi
么逼我	me bi wo
么逼意思	me bi yi si
么变	me bian
么变化	me bian hua
么扁	me bian
么标	me biao
么表情	me biao qing
么别	me bie
么憋	me bie
么病	me bing
么不	me bu
么不得	me bu de
么不会	me bu hui
么不劲	me bu jin
么不就	me bu jiu
么不空	me bu kong
么不了	me bu liao
么不怕	me bu pa
么不去	me bu qu
么不然	me bu ran
么不是	me bu shi
么不说话	me bu shuo hua
么不说了	me bu shuo le
么才	me cai
么菜	me cai
么层	me ceng
么差不多	me cha bu duo
么钞票	me chao piao
么扯	me che
么车	me che
么车子	me che zi
么成	me cheng
么称呼	me cheng hu
么诚意	me cheng yi
么吃	me chi
么吃饭	me chi fan
么吃过	me chi guo
么吃呢	me chi ne
么吃完	me chi wan
么迟到	me chi dao
么虫	me chong
么出	me chu
么出来	me chu lai
么出烂息	me chu lan xi
么出门	me chu men
么出去	me chu qu
么出息	me chu xi
么初	me chu
么穿	me chuan
么穿衣服	me chuan yi fu
么吹	me chui
么戳	me chuo
么催	me cui
么村	me cun
么错	me cuo
么错吧	me cuo ba
么哒	me da
么大号和小号吗	me da hao he xiao hao ma
么大么大	me da me da
么大么小	me da me xiao
么打	me da
么打过	me da guo
么打牌	me da pai
么打算	me da suan
么打听你学的那	me da ting ni xue de na
么答应	me da ying
么带	me dai
么但是	me dan shi
么蛋	me dan
么档次	me dang ci
么刀	me dao
么到	me dao
么到处	me dao chu
么到个里	me dao ge li
么到时	me dao shi
么到时候	me dao shi hou
么叨	me dao
么道	me dao
么道道	me dao dao
么得	me de
么得啊	me de a
么得哎	me de ai
么得办法	me de ban fa
么得吃的	me de chi de
么得电	me de dian
么得吊事	me de diao shi
么得干	me de gan
么得关系	me de guan xi
么得好	me de hao
么得会儿	me de hui er
么得魂得个	me de hun de ge
么得救了	me de jiu le
么得看到	me de kan dao
么得课	me de ke
么得空	me de kong
么得啦	me de la
么得来	me de lai
么得了	me de le
么得么得	me de me de
么得命	me de ming
么得呢	me de ne
么得你	me de ni
么得啥	me de sha
么得什么	me de shen me
么得事	me de shi
么得时候	me de shi hou
么得时间	me de shi jian
么得四	me de si
么得誊分	me de teng fen
么得玩的	me de wan de
么得我	me de wo
么得闲	me de xian
么得兴趣	me de xing qu
么得行	me de xing
么得住	me de zhu
么的对象	me de dui xiang
么的干	me de gan
么的话	me de hua
么的命	me de ming
么的呢	me de ne
么的钱	me de qian
么的人	me de ren
么的事	me de shi
么的时候	me de shi hou
么的是	me de shi
么的说相	me de shuo xiang
么的四	me de si
么的挺清楚的么	me de ting qing chu de me
么的问题	me de wen ti
么的意思	me de yi si
么的用	me de yong
么的有	me de you
么的有啊	me de you a
么得吃	me dei chi
么得去	me dei qu
么得用	me dei yong
么得做	me dei zuo
么灯	me deng
么等	me deng
么等的	me deng de
么等哈	me deng ha
么等你	me deng ni
么等我	me deng wo
么低	me di
么地	me di
么地方	me di fang
么弟	me di
么滴	me di
么嗲	me dia
么店	me dian
么店村	me dian cun
么店里	me dian li
么店子	me dian zi
么点哈术	me dian ha shu
么电	me dian
么电了	me dian le
么电视	me dian shi
么电影	me dian ying
么吊	me diao
么掉	me diao
么跌	me die
么定	me ding
么定组	me ding zu
么丢	me diu
么东	me dong
么东东	me dong dong
么东西	me dong xi
么东西啊	me dong xi a
么动	me dong
么动力	me dong li
么懂	me dong
么洞子	me dong zi
么斗	me dou
么都	me dou
么都不管	me dou bu guan
么都不会	me dou bu hui
么都不说	me dou bu shuo
么都不知道	me dou bu zhi dao
么都吃	me dou chi
么都管	me dou guan
么都没有	me dou mei you
么都说	me dou shuo
么都行	me dou xing
么都有	me dou you
么度罗	me du luo
么对的	me dui de
么多	me duo
么多大	me duo da
么多想	me duo xiang
么多余号	me duo yu hao
么额	me e
么额达	me e da
么二	me er
么儿	me er
么发	me fa
么发出去	me fa chu qu
么发了	me fa le
么发现	me fa xian
么发这个号	me fa zhe ge hao
么法	me fa
么法比	me fa bi
么法说	me fa shuo
么反应	me fan ying
么烦	me fan
么烦了	me fan le
么烦么烦	me fan me fan
么饭	me fan
么房	me fang
么放	me fang
么放假	me fang jia
么方向	me fang xiang
么废话	me fei hua
么肥	me fei
么费	me fei
么费了	me fei le
么非	me fei
么粉	me fen
么疯够了	me feng gou le
么风	me feng
么噶	me ga
么概念	me gai nian
么干	me gan
么干的	me gan de
么干好事	me gan hao shi
么干嘛	me gan ma
么干撒	me gan sa
么干啥	me gan sha
么干什么	me gan shen me
么干甚	me gan shen
么感觉	me gan jue
么感觉到	me gan jue dao
么感情	me gan qing
么敢	me gan
么敢当	me gan dang
么赶点	me gan dian
么赶紧	me gan jin
么赶紧睡了	me gan jin shui le
么赶快	me gan kuai
么刚	me gang
么港	me gang
么告诉	me gao su
么告诉我	me gao su wo
么搞	me gao
么搞场	me gao chang
么搞得	me gao de
么高	me gao
么高考麻烦了	me gao kao ma fan le
么个	me ge
么个是	me ge shi
么个意思	me ge yi si
么咯	me ge
么哥	me ge
么歌	me ge
么给	me gei
么给你	me gei ni
么给是	me gei shi
么给他	me gei ta
么给我	me gei wo
么给要	me gei yao
么给有	me gei you
么根	me gen
么跟	me gen
么跟老子	me gen lao zi
么跟你们说昂	me gen ni men shuo ang
么跟我	me gen wo
么跟我说	me gen wo shuo
么工作	me gong zuo
么沟	me gou
么狗	me gou
么估计	me gu ji
么姑娘	me gu niang
么怪	me guai
么怪我	me guai wo
么关系	me guan xi
么管	me guan
么光	me guang
么光线	me guang xian
么鬼	me gui
么果	me guo
么果样咧	me guo yang lie
么过	me guo
么过来	me guo lai
么过去	me guo qu
么哈	me ha
么哈我	me ha wo
么还	me hai
么还不是	me hai bu shi
么还好	me hai hao
么还可以	me hai ke yi
么还是	me hai shi
么还说	me hai shuo
么还有	me hai you
么还早	me hai zao
么憨	me han
么号	me hao
么好	me hao
么好吧	me hao ba
么好吃的	me hao chi de
么好的	me hao de
么好饭	me hao fan
么好来	me hao lai
么好了	me hao le
么好了咯	me hao le ge
么好了嘛	me hao le ma
么好了哇	me hao le wa
么好类	me hao lei
么好嘛	me hao ma
么好意思	me hao yi si
么喝	me he
么喝酒	me he jiu
么河	me he
么河经营所	me he jing ying suo
么赫斯曾	me he si ceng
么黑	me hei
么黑我	me hei wo
么哄	me hong
么侯	me hou
么后	me hou
么化	me hua
么花头	me hua tou
么话	me hua
么话了	me hua le
么话呢	me hua ne
么话说	me hua shuo
么话扎	me hua zha
么换	me huan
么慌	me huang
么荒	me huang
么会	me hui
么会啊	me hui a
么会么	me hui me
么会逆机如苏	me hui ni ji ru su
么会子	me hui zi
么回	me hui
么回家	me hui jia
么回来	me hui lai
么回去	me hui qu
么回事	me hui shi
么辉	me hui
么魂	me hun
么活	me huo
么活动	me huo dong
么火	me huo
么几次	me ji ci
么几点	me ji dian
么几句话	me ji ju hua
么及	me ji
么急	me ji
么机会	me ji hui
么机子	me ji zi
么激动	me ji dong
么激情	me ji qing
么级格	me ji ge
么计划	me ji hua
么记得	me ji de
么鸡	me ji
么价格	me jia ge
么价格公道	me jia ge gong dao
么价位	me jia wei
么假	me jia
么加油	me jia you
么家	me jia
么家泊	me jia bo
么家伙	me jia huo
么家庄	me jia zhuang
么见	me jian
么见到	me jian dao
么见过	me jian guo
么见过真人	me jian guo zhen ren
么见了	me jian le
么见面	me jian mian
么见你	me jian ni
么见你了	me jian ni le
么见他	me jian ta
么见着	me jian zhao
么讲	me jiang
么交	me jiao
么叫	me jiao
么叫你	me jiao ni
么叫我	me jiao wo
么接	me jie
么接上	me jie shang
么结果	me jie guo
么结婚	me jie hun
么节	me jie
么今天	me jin tian
么今晚	me jin wan
么劲	me jin
么劲来	me jin lai
么紧	me jin
么紧带是跟达偶	me jin dai shi gen da ou
么紧的	me jin de
么紧张	me jin zhang
么金	me jin
么劲	me jing
么景	me jing
么精神	me jing shen
么经	me jing
么静	me jing
么九头	me jiu tou
么就	me jiu
么就不说了	me jiu bu shuo le
么就不消	me jiu bu xiao
么就不要	me jiu bu yao
么就得啦	me jiu de la
么就得了	me jiu de le
么就得了嘛	me jiu de le ma
么就得	me jiu dei
么就对了	me jiu dui le
么就好	me jiu hao
么就好好	me jiu hao hao
么就可以	me jiu ke yi
么就买	me jiu mai
么就明天	me jiu ming tian
么就去	me jiu qu
么就是	me jiu shi
么就是啦	me jiu shi la
么就是了	me jiu shi le
么就是了么	me jiu shi le me
么就说	me jiu shuo
么就算	me jiu suan
么就算啦	me jiu suan la
么就算了	me jiu suan le
么就算吗	me jiu suan ma
么就行	me jiu xing
么就行啦	me jiu xing la
么就行了	me jiu xing le
么就行了嘛	me jiu xing le ma
么就要	me jiu yao
么就在	me jiu zai
么就只有	me jiu zhi you
么救	me jiu
么救了	me jiu le
么纠结	me jiu jie
么酒	me jiu
么觉	me jue
么开	me kai
么看	me kan
么看出	me kan chu
么看出来	me kan chu lai
么看到	me kan dao
么看懂	me kan dong
